
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-17 15:03:23.0193502 1613574203.019350290 1613574203.018955708 +0.000394583, ltcy: 0.10 us, exec: 0.04 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:24.0195902 1613574204.019590378 1613574204.019194603 +0.000395536, ltcy: 0.26 us, exec: 0.19 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:25.0198905 1613574205.019890547 1613574205.019495010 +0.000395298, ltcy: 0.28 us, exec: 0.19 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:26.0201937 1613574206.020193815 1613574206.019797802 +0.000395775, ltcy: 0.26 us, exec: 0.21 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:27.0204992 1613574207.020499229 1613574207.020103216 +0.000395775, ltcy: 0.26 us, exec: 0.22 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:28.0208051 1613574208.020805120 1613574208.020408630 +0.000396252, ltcy: 0.29 us, exec: 0.20 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:29.0211170 1613574209.021116972 1613574209.020720243 +0.000396490, ltcy: 0.28 us, exec: 0.20 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:30.0214230 1613574210.021423101 1613574210.021025896 +0.000396967, ltcy: 0.27 us, exec: 0.21 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:31.0217293 1613574211.021729469 1613574211.021332026 +0.000397205, ltcy: 0.28 us, exec: 0.21 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:32.0220558 1613574212.022055864 1613574212.021658182 +0.000397444, ltcy: 0.26 us, exec: 0.20 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:33.0223618 1613574213.022361994 1613574213.021963835 +0.000397921, ltcy: 0.28 us, exec: 0.19 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:34.0226655 1613574214.022665501 1613574214.022267342 +0.000397921, ltcy: 0.28 us, exec: 0.21 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:35.0229717 1613574215.022971630 1613574215.022572994 +0.000398397, ltcy: 0.27 us, exec: 0.21 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:36.0232813 1613574216.023281336 1613574216.022882462 +0.000398636, ltcy: 0.28 us, exec: 0.20 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:37.0235957 1613574217.023595810 1613574217.023196459 +0.000399113, ltcy: 0.26 us, exec: 0.19 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:38.0239201 1613574218.023920298 1613574218.023520708 +0.000399351, ltcy: 0.29 us, exec: 0.19 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:39.0242466 1613574219.024246693 1613574219.023846865 +0.000399590, ltcy: 0.27 us, exec: 0.21 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:40.0245738 1613574220.024573803 1613574220.024173737 +0.000399828, ltcy: 0.27 us, exec: 0.19 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:41.0248300 1613574221.024830103 1613574221.024430037 +0.000400066, ltcy: 0.10 us, exec: 0.05 us, limit: 0.19 us, leap: 00 *
