
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 3502655000 Hz
GNS181PEX: 2021-02-17 15:03:50.3814295 1613574230.381429672 1613574230.381531239 -0.000101805, ltcy: 0.20 us, exec: 0.21 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:51.3816672 1613574231.381667376 1613574231.381768942 -0.000101805, ltcy: 0.20 us, exec: 0.21 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:52.3819203 1613574232.381920338 1613574232.382022381 -0.000102282, ltcy: 0.20 us, exec: 0.22 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:53.3821287 1613574233.382128716 1613574233.382230997 -0.000102520, ltcy: 0.14 us, exec: 0.14 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:54.3823184 1613574234.382318497 1613574234.382420778 -0.000102520, ltcy: 0.20 us, exec: 0.18 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:55.3825641 1613574235.382564068 1613574235.382666826 -0.000102997, ltcy: 0.19 us, exec: 0.22 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:56.3827877 1613574236.382787704 1613574236.382890463 -0.000102997, ltcy: 0.20 us, exec: 0.17 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:57.3830418 1613574237.383041859 1613574237.383136988 -0.000103235, ltcy: 8.07 us, exec: 0.19 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:58.3832554 1613574238.383255482 1613574238.383358717 -0.000103474, ltcy: 0.14 us, exec: 0.15 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:59.3834590 1613574239.383459091 1613574239.383562326 -0.000103474, ltcy: 0.20 us, exec: 0.16 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:00.3837301 1613574240.383730173 1613574240.383833647 -0.000103712, ltcy: 0.20 us, exec: 0.21 us, limit: 0.17 us, leap: 00 *
