
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-17 15:03:36.3923190 1613574216.392318964 1613574216.392355442 -0.000036716, ltcy: 0.12 us, exec: 0.04 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:37.3925469 1613574217.392546892 1613574217.392582893 -0.000036240, ltcy: 0.26 us, exec: 0.21 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:38.3928648 1613574218.392864943 1613574218.392900705 -0.000036001, ltcy: 0.26 us, exec: 0.21 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:39.3931813 1613574219.393181324 1613574219.393217087 -0.000036001, ltcy: 0.26 us, exec: 0.23 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:40.3934988 1613574220.393498898 1613574220.393534660 -0.000036001, ltcy: 0.26 us, exec: 0.21 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:41.3938235 1613574221.393823624 1613574221.393859148 -0.000035763, ltcy: 0.25 us, exec: 0.26 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:42.3941137 1613574222.394113779 1613574222.394149303 -0.000035763, ltcy: 0.28 us, exec: 0.24 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:43.3944738 1613574223.394473791 1613574223.394509554 -0.000036001, ltcy: 0.26 us, exec: 0.22 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:44.3948695 1613574224.394869566 1613574224.394905567 -0.000036001, ltcy: 0.11 us, exec: 0.06 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:45.3951113 1613574225.395111322 1613574225.395146847 -0.000035763, ltcy: 0.27 us, exec: 0.22 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:46.3954398 1613574226.395439863 1613574226.395475388 -0.000035763, ltcy: 0.26 us, exec: 0.26 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:47.3957669 1613574227.395766973 1613574227.395802736 -0.000036001, ltcy: 0.12 us, exec: 0.06 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:48.3959833 1613574228.395983458 1613574228.396019220 -0.000035763, ltcy: 0.12 us, exec: 0.06 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:49.3962628 1613574229.396262884 1613574229.396298647 -0.000035763, ltcy: 0.11 us, exec: 0.04 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:50.3965095 1613574230.396509647 1613574230.396545172 -0.000035763, ltcy: 0.14 us, exec: 0.08 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:51.3967307 1613574231.396730900 1613574231.396765947 -0.000035286, ltcy: 0.29 us, exec: 0.26 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:52.3970574 1613574232.397057533 1613574232.397093296 -0.000035763, ltcy: 0.10 us, exec: 0.05 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:53.3973345 1613574233.397334576 1613574233.397369862 -0.000035524, ltcy: 0.25 us, exec: 0.21 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:54.3976062 1613574234.397606373 1613574234.397641420 -0.000035286, ltcy: 0.28 us, exec: 0.21 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:55.3978151 1613574235.397815228 1613574235.397850752 -0.000035524, ltcy: 0.10 us, exec: 0.06 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:56.3980182 1613574236.398018122 1613574236.398053885 -0.000035763, ltcy: 0.09 us, exec: 0.05 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:57.3982006 1613574237.398200750 1613574237.398236275 -0.000035524, ltcy: 0.09 us, exec: 0.06 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:58.3984050 1613574238.398405075 1613574238.398440599 -0.000035524, ltcy: 0.09 us, exec: 0.05 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-17 15:03:59.3985790 1613574239.398579121 1613574239.398614645 -0.000035524, ltcy: 0.10 us, exec: 0.07 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:00.3987892 1613574240.398789167 1613574240.398824692 -0.000035763, ltcy: 0.13 us, exec: 0.05 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:01.3990804 1613574241.399080515 1613574241.399115324 -0.000035048, ltcy: 0.27 us, exec: 0.22 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:02.3993324 1613574242.399332523 1613574242.399367809 -0.000035286, ltcy: 0.09 us, exec: 0.04 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:03.3995355 1613574243.399535418 1613574243.399570942 -0.000035524, ltcy: 0.09 us, exec: 0.06 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:04.3997583 1613574244.399758339 1613574244.399793625 -0.000035286, ltcy: 0.10 us, exec: 0.06 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:05.4000995 1613574245.400099516 1613574245.400134802 -0.000035286, ltcy: 0.09 us, exec: 0.05 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:06.4002807 1613574246.400280714 1613574246.400316000 -0.000035286, ltcy: 0.12 us, exec: 0.05 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:07.4005046 1613574247.400504589 1613574247.400539637 -0.000035286, ltcy: 0.14 us, exec: 0.05 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:08.4007943 1613574248.400794506 1613574248.400829315 -0.000035048, ltcy: 0.21 us, exec: 0.05 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:09.4009882 1613574249.400988340 1613574249.401023388 -0.000035048, ltcy: 0.11 us, exec: 0.06 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:10.4012464 1613574250.401246548 1613574250.401281118 -0.000034809, ltcy: 0.28 us, exec: 0.28 us, limit: 0.12 us, leap: 00
GNS181PEX: 2021-02-17 15:04:11.4018615 1613574251.401861429 1613574251.401896000 -0.000034809, ltcy: 0.27 us, exec: 0.20 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:12.4020957 1613574252.402095795 1613574252.402130365 -0.000034809, ltcy: 0.26 us, exec: 0.20 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:13.4023450 1613574253.402345181 1613574253.402379990 -0.000034809, ltcy: 0.10 us, exec: 0.05 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:14.4025540 1613574254.402554035 1613574254.402588844 -0.000035048, ltcy: 0.15 us, exec: 0.04 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:15.4027544 1613574255.402754307 1613574255.402789354 -0.000035048, ltcy: 0.11 us, exec: 0.06 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:16.4029774 1613574256.402977467 1613574256.403012276 -0.000034809, ltcy: 0.09 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:17.4032655 1613574257.403265476 1613574257.403299809 -0.000034571, ltcy: 0.27 us, exec: 0.22 us, limit: 0.10 us, leap: 00
GNS181PEX: 2021-02-17 15:04:18.4035815 1613574258.403581619 1613574258.403615713 -0.000034332, ltcy: 0.27 us, exec: 0.22 us, limit: 0.10 us, leap: 00
GNS181PEX: 2021-02-17 15:04:19.4039057 1613574259.403905630 1613574259.403939962 -0.000034571, ltcy: 0.26 us, exec: 0.20 us, limit: 0.11 us, leap: 00
GNS181PEX: 2021-02-17 15:04:20.4041918 1613574260.404191971 1613574260.404226065 -0.000034332, ltcy: 0.27 us, exec: 0.22 us, limit: 0.11 us, leap: 00
GNS181PEX: 2021-02-17 15:04:21.4044741 1613574261.404474258 1613574261.404508829 -0.000034571, ltcy: 0.10 us, exec: 0.06 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-17 15:04:22.4047072 1613574262.404707193 1613574262.404741287 -0.000034332, ltcy: 0.26 us, exec: 0.25 us, limit: 0.12 us, leap: 00
GNS181PEX: 2021-02-17 15:04:23.4049654 1613574263.404965401 1613574263.404999495 -0.000034332, ltcy: 0.28 us, exec: 0.20 us, limit: 0.12 us, leap: 00
GNS181PEX: 2021-02-17 15:04:24.4052729 1613574264.405272961 1613574264.405307055 -0.000034332, ltcy: 0.28 us, exec: 0.20 us, limit: 0.12 us, leap: 00 *
