
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 3502655000 Hz
GNS181PEX: 2021-02-17 09:36:26.5508918 1613554586.550891876 1613554586.550921440 -0.000029564, ltcy: 0.10 us, exec: 0.08 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-17 09:36:27.5510843 1613554587.551084518 1613554587.551113844 -0.000029564, ltcy: 0.18 us, exec: 0.23 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-17 09:36:28.5513420 1613554588.551342010 1613554588.551371574 -0.000029802, ltcy: 0.15 us, exec: 0.25 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 09:36:29.5515744 1613554589.551574469 1613554589.551604033 -0.000029802, ltcy: 0.18 us, exec: 0.19 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-17 09:36:30.5518149 1613554590.551815033 1613554590.551844358 -0.000029564, ltcy: 0.34 us, exec: 0.38 us, limit: 0.22 us, leap: 00 *
GNS181PEX: 2021-02-17 09:36:31.5520945 1613554591.552094698 1613554591.552124500 -0.000030041, ltcy: 0.15 us, exec: 0.26 us, limit: 0.23 us, leap: 00 *
GNS181PEX: 2021-02-17 09:36:32.5523292 1613554592.552329302 1613554592.552359104 -0.000030041, ltcy: 0.15 us, exec: 0.14 us, limit: 0.22 us, leap: 00 *
GNS181PEX: 2021-02-17 09:36:33.5526534 1613554593.552653551 1613554593.552683353 -0.000030041, ltcy: 0.18 us, exec: 0.19 us, limit: 0.21 us, leap: 00 *
GNS181PEX: 2021-02-17 09:36:34.5529355 1613554594.552935600 1613554594.552965641 -0.000030279, ltcy: 0.15 us, exec: 0.15 us, limit: 0.21 us, leap: 00 *
GNS181PEX: 2021-02-17 09:36:35.5531369 1613554595.553137064 1613554595.553167105 -0.000030279, ltcy: 0.17 us, exec: 0.19 us, limit: 0.21 us, leap: 00 *
GNS181PEX: 2021-02-17 09:36:36.5534143 1613554596.553414345 1613554596.553444624 -0.000030518, ltcy: 0.14 us, exec: 0.14 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-17 09:36:37.5581418 1613554597.558141947 1613554597.558172226 -0.000030518, ltcy: 0.14 us, exec: 0.19 us, limit: 0.20 us, leap: 00 *
