
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-17 09:34:26.6115628 1613554466.611562967 1613554466.611561775 +0.000000954, ltcy: 0.26 us, exec: 0.21 us, limit: 0.21 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:27.6118064 1613554467.611806393 1613554467.611805677 +0.000000715, ltcy: 0.10 us, exec: 0.05 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:28.6119937 1613554468.611993790 1613554468.611992598 +0.000000954, ltcy: 0.27 us, exec: 0.23 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:29.6122142 1613554469.612214327 1613554469.612213612 +0.000000715, ltcy: 0.10 us, exec: 0.05 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:30.6124019 1613554470.612401962 1613554470.612401247 +0.000000477, ltcy: 0.22 us, exec: 0.05 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:31.6126082 1613554471.612608194 1613554471.612607718 +0.000000477, ltcy: 0.09 us, exec: 0.06 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:32.6128014 1613554472.612801313 1613554472.612800598 +0.000000477, ltcy: 0.19 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:33.6130073 1613554473.613007307 1613554473.613006592 +0.000000715, ltcy: 0.11 us, exec: 0.06 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:34.6132772 1613554474.613277197 1613554474.613276482 +0.000000715, ltcy: 0.09 us, exec: 0.05 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:35.6135668 1613554475.613566875 1613554475.613565683 +0.000000954, ltcy: 0.26 us, exec: 0.22 us, limit: 0.10 us, leap: 00
GNS181PEX: 2021-02-17 09:34:36.6138180 1613554476.613818169 1613554476.613817215 +0.000000715, ltcy: 0.13 us, exec: 0.06 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:37.6141817 1613554477.614181757 1613554477.614180565 +0.000000954, ltcy: 0.29 us, exec: 0.13 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:38.6145038 1613554478.614503860 1613554478.614502907 +0.000000954, ltcy: 0.11 us, exec: 0.12 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:39.6148181 1613554479.614818096 1613554479.614817142 +0.000000954, ltcy: 0.09 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:40.6150778 1613554480.615077734 1613554480.615076780 +0.000000954, ltcy: 0.09 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:41.6153223 1613554481.615322351 1613554481.615320921 +0.000001192, ltcy: 0.26 us, exec: 0.23 us, limit: 0.10 us, leap: 00
GNS181PEX: 2021-02-17 09:34:42.6155995 1613554482.615599632 1613554482.615598679 +0.000000954, ltcy: 0.10 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:43.6158084 1613554483.615808487 1613554483.615807533 +0.000000954, ltcy: 0.11 us, exec: 0.08 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:44.6160160 1613554484.616015911 1613554484.616014957 +0.000000954, ltcy: 0.10 us, exec: 0.04 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:45.6162682 1613554485.616268158 1613554485.616267204 +0.000000715, ltcy: 0.13 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:46.6165406 1613554486.616540670 1613554486.616539478 +0.000000954, ltcy: 0.16 us, exec: 0.05 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:47.6168791 1613554487.616879225 1613554487.616878033 +0.000000954, ltcy: 0.25 us, exec: 0.05 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:48.6170748 1613554488.617074966 1613554488.617073774 +0.000001192, ltcy: 0.12 us, exec: 0.06 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:49.6173160 1613554489.617316008 1613554489.617314816 +0.000001192, ltcy: 0.10 us, exec: 0.14 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:50.6175187 1613554490.617518663 1613554490.617517471 +0.000000954, ltcy: 0.16 us, exec: 0.17 us, limit: 0.09 us, leap: 00
