
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 3502655000 Hz
GNS181PEX: 2021-02-20 14:13:04.6106285 1613830384.610628605 1613830384.610581875 +0.000046730, ltcy: 0.10 us, exec: 0.09 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:05.6107992 1613830385.610799313 1613830385.610753059 +0.000046015, ltcy: 0.15 us, exec: 0.12 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:06.6110099 1613830386.611010075 1613830386.610963106 +0.000046730, ltcy: 0.13 us, exec: 0.13 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:07.6112221 1613830387.611222029 1613830387.611175299 +0.000046492, ltcy: 0.16 us, exec: 0.13 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:08.6114881 1613830388.611488104 1613830388.611441612 +0.000046253, ltcy: 0.16 us, exec: 0.14 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:09.6119162 1613830389.611916304 1613830389.611869097 +0.000046968, ltcy: 0.14 us, exec: 0.08 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:10.6121113 1613830390.612111330 1613830390.612064123 +0.000046968, ltcy: 0.18 us, exec: 0.16 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:11.6123130 1613830391.612313032 1613830391.612265587 +0.000047207, ltcy: 0.32 us, exec: 0.10 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:12.6125551 1613830392.612555027 1613830392.612507582 +0.000047207, ltcy: 0.16 us, exec: 0.11 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:13.6128194 1613830393.612819433 1613830393.612772226 +0.000046968, ltcy: 0.20 us, exec: 0.21 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:14.6131054 1613830394.613105536 1613830394.613058090 +0.000047207, ltcy: 0.21 us, exec: 0.21 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:15.6133665 1613830395.613366604 1613830395.613319159 +0.000047207, ltcy: 0.21 us, exec: 0.21 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:16.6137066 1613830396.613706589 1613830396.613659382 +0.000046968, ltcy: 0.16 us, exec: 0.13 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:17.6139436 1613830397.613943577 1613830397.613895655 +0.000047684, ltcy: 0.19 us, exec: 0.12 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:18.6141894 1613830398.614189386 1613830398.614141226 +0.000047922, ltcy: 0.20 us, exec: 0.22 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:19.6144744 1613830399.614474297 1613830399.614426613 +0.000047445, ltcy: 0.18 us, exec: 0.09 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:20.6147031 1613830400.614703178 1613830400.614655018 +0.000047922, ltcy: 0.14 us, exec: 0.09 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:21.6148853 1613830401.614885330 1613830401.614836931 +0.000048161, ltcy: 0.13 us, exec: 0.10 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:22.6150680 1613830402.615067959 1613830402.615019798 +0.000047922, ltcy: 0.13 us, exec: 0.08 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:23.6152874 1613830403.615287304 1613830403.615238905 +0.000048161, ltcy: 0.14 us, exec: 0.12 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:24.6154637 1613830404.615463734 1613830404.615415573 +0.000047922, ltcy: 0.14 us, exec: 0.11 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:25.6156453 1613830405.615645409 1613830405.615597248 +0.000047922, ltcy: 0.14 us, exec: 0.08 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:26.6158357 1613830406.615835667 1613830406.615787506 +0.000047922, ltcy: 0.14 us, exec: 0.10 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:27.6160301 1613830407.616030216 1613830407.615981340 +0.000048637, ltcy: 0.13 us, exec: 0.08 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:28.6162333 1613830408.616233349 1613830408.616184711 +0.000048399, ltcy: 0.21 us, exec: 0.21 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:29.6164813 1613830409.616481304 1613830409.616431952 +0.000049114, ltcy: 0.21 us, exec: 0.17 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:30.6167155 1613830410.616715431 1613830410.616666079 +0.000049114, ltcy: 0.20 us, exec: 0.20 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:31.6169827 1613830411.616982698 1613830411.616933107 +0.000049353, ltcy: 0.21 us, exec: 0.19 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:32.6172229 1613830412.617223024 1613830412.617173910 +0.000048876, ltcy: 0.20 us, exec: 0.22 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:33.6174443 1613830413.617444277 1613830413.617394686 +0.000049353, ltcy: 0.17 us, exec: 0.13 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:34.6176774 1613830414.617677450 1613830414.617627621 +0.000049591, ltcy: 0.22 us, exec: 0.21 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:35.6179053 1613830415.617905378 1613830415.617856026 +0.000049114, ltcy: 0.14 us, exec: 0.12 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:36.6181443 1613830416.618144274 1613830416.618094206 +0.000049829, ltcy: 0.20 us, exec: 0.19 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:37.6183807 1613830417.618380785 1613830417.618330717 +0.000049829, ltcy: 0.22 us, exec: 0.18 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:38.6185992 1613830418.618599176 1613830418.618548870 +0.000050068, ltcy: 0.20 us, exec: 0.19 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:39.6188429 1613830419.618843079 1613830419.618792772 +0.000050068, ltcy: 0.16 us, exec: 0.12 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:40.6190892 1613830420.619089365 1613830420.619039297 +0.000049829, ltcy: 0.21 us, exec: 0.19 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:41.6193203 1613830421.619320393 1613830421.619269848 +0.000050068, ltcy: 0.48 us, exec: 0.20 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:42.6195681 1613830422.619568110 1613830422.619517803 +0.000050068, ltcy: 0.19 us, exec: 0.19 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:43.6198053 1613830423.619805336 1613830423.619754553 +0.000050545, ltcy: 0.21 us, exec: 0.18 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:44.6200551 1613830424.620055199 1613830424.620004654 +0.000050306, ltcy: 0.20 us, exec: 0.21 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:45.6202861 1613830425.620286226 1613830425.620235682 +0.000050306, ltcy: 0.17 us, exec: 0.10 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:46.6205314 1613830426.620531559 1613830426.620480537 +0.000050783, ltcy: 0.28 us, exec: 0.15 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:47.6207623 1613830427.620762348 1613830427.620711088 +0.000051022, ltcy: 0.18 us, exec: 0.16 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:48.6209925 1613830428.620992661 1613830428.620941162 +0.000051260, ltcy: 0.20 us, exec: 0.19 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:49.6212288 1613830429.621228933 1613830429.621177197 +0.000051498, ltcy: 0.20 us, exec: 0.19 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:50.6214697 1613830430.621469736 1613830430.621417999 +0.000051498, ltcy: 0.20 us, exec: 0.15 us, limit: 0.15 us, leap: 00 *
