
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-20 14:12:59.1945031 1613830379.194503069 1613830379.194508314 -0.000005484, ltcy: 0.19 us, exec: 0.04 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:00.1947489 1613830380.194748878 1613830380.194754362 -0.000005484, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:01.1949398 1613830381.194939852 1613830381.194944859 -0.000005007, ltcy: 0.12 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:02.1951734 1613830382.195173502 1613830382.195178747 -0.000005245, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:03.1953404 1613830383.195340395 1613830383.195345879 -0.000005484, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:04.1955398 1613830384.195539713 1613830384.195545197 -0.000005484, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:05.1957540 1613830385.195754051 1613830385.195759535 -0.000005484, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:06.1959577 1613830386.195957899 1613830386.195963144 -0.000005245, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:07.1961788 1613830387.196178913 1613830387.196184158 -0.000005245, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:08.1963810 1613830388.196381092 1613830388.196386337 -0.000005245, ltcy: 0.12 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:09.1965886 1613830389.196588755 1613830389.196594000 -0.000005245, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:10.1968745 1613830390.196874619 1613830390.196880102 -0.000005484, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:11.1970670 1613830391.197067022 1613830391.197072506 -0.000005484, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:12.1972392 1613830392.197239161 1613830392.197244644 -0.000005484, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:13.1974327 1613830393.197432756 1613830393.197438240 -0.000005484, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:14.1976009 1613830394.197601080 1613830394.197606564 -0.000005484, ltcy: 0.10 us, exec: 0.07 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:15.1977898 1613830395.197789907 1613830395.197795391 -0.000005484, ltcy: 0.10 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:16.1979643 1613830396.197964430 1613830396.197969913 -0.000005722, ltcy: 0.12 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:17.1981455 1613830397.198145628 1613830397.198151112 -0.000005484, ltcy: 0.10 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:18.1983268 1613830398.198326826 1613830398.198332310 -0.000005484, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:19.1985033 1613830399.198503256 1613830399.198508739 -0.000005484, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:20.1986839 1613830400.198683977 1613830400.198689461 -0.000005484, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:21.1988521 1613830401.198852062 1613830401.198857546 -0.000005484, ltcy: 0.11 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:22.1990459 1613830402.199045897 1613830402.199051380 -0.000005484, ltcy: 0.12 us, exec: 0.08 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:23.1992553 1613830403.199255466 1613830403.199260950 -0.000005484, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:24.1995227 1613830404.199522734 1613830404.199528217 -0.000005484, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:25.1997572 1613830405.199757099 1613830405.199762583 -0.000005484, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:26.1999974 1613830406.199997425 1613830406.200002909 -0.000005722, ltcy: 0.21 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:27.2002273 1613830407.200227261 1613830407.200232744 -0.000005484, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
