
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-20 14:12:48.5054514 1613830368.505451441 1613830368.505450964 +0.000000238, ltcy: 0.13 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-20 14:12:49.5056627 1613830369.505662680 1613830369.505661964 +0.000000477, ltcy: 0.27 us, exec: 0.20 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-20 14:12:50.5060147 1613830370.506014824 1613830370.506014347 +0.000000477, ltcy: 0.11 us, exec: 0.06 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-20 14:12:51.5062596 1613830371.506259680 1613830371.506259203 +0.000000477, ltcy: 0.10 us, exec: 0.04 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-20 14:12:52.5064361 1613830372.506436110 1613830372.506435633 +0.000000477, ltcy: 0.09 us, exec: 0.05 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-20 14:12:53.5066229 1613830373.506622791 1613830373.506622076 +0.000000477, ltcy: 0.21 us, exec: 0.16 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-20 14:12:54.5069354 1613830374.506935358 1613830374.506934643 +0.000000477, ltcy: 0.15 us, exec: 0.11 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-20 14:12:55.5071782 1613830375.507178307 1613830375.507177591 +0.000000477, ltcy: 0.16 us, exec: 0.06 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-20 14:12:56.5074513 1613830376.507451296 1613830376.507450342 +0.000000715, ltcy: 0.25 us, exec: 0.21 us, limit: 0.10 us, leap: 00
GNS181PEX: 2021-02-20 14:12:57.5077420 1613830377.507742167 1613830377.507741451 +0.000000715, ltcy: 0.09 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-20 14:12:58.5079818 1613830378.507981777 1613830378.507981300 +0.000000477, ltcy: 0.09 us, exec: 0.05 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-20 14:12:59.5082360 1613830379.508236170 1613830379.508234978 +0.000000954, ltcy: 0.27 us, exec: 0.25 us, limit: 0.11 us, leap: 00
GNS181PEX: 2021-02-20 14:13:00.5084916 1613830380.508491516 1613830380.508491039 +0.000000477, ltcy: 0.10 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:01.5087394 1613830381.508739471 1613830381.508738279 +0.000000954, ltcy: 0.27 us, exec: 0.22 us, limit: 0.11 us, leap: 00
GNS181PEX: 2021-02-20 14:13:02.5090068 1613830382.509006977 1613830382.509006023 +0.000000715, ltcy: 0.20 us, exec: 0.14 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:03.5093020 1613830383.509302139 1613830383.509301424 +0.000000715, ltcy: 0.09 us, exec: 0.04 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:04.5095181 1613830384.509518147 1613830384.509516954 +0.000001192, ltcy: 0.11 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:05.5097282 1613830385.509728193 1613830385.509727001 +0.000000954, ltcy: 0.30 us, exec: 0.22 us, limit: 0.11 us, leap: 00
GNS181PEX: 2021-02-20 14:13:06.5100966 1613830386.510096550 1613830386.510096073 +0.000000477, ltcy: 0.10 us, exec: 0.04 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:07.5103540 1613830387.510354042 1613830387.510353088 +0.000000715, ltcy: 0.26 us, exec: 0.21 us, limit: 0.11 us, leap: 00
GNS181PEX: 2021-02-20 14:13:08.5106509 1613830388.510650873 1613830388.510649681 +0.000000954, ltcy: 0.28 us, exec: 0.29 us, limit: 0.12 us, leap: 00
GNS181PEX: 2021-02-20 14:13:09.5110416 1613830389.511041641 1613830389.511040926 +0.000000477, ltcy: 0.16 us, exec: 0.09 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:10.5112759 1613830390.511276007 1613830390.511275530 +0.000000477, ltcy: 0.11 us, exec: 0.06 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:11.5115301 1613830391.511530161 1613830391.511529446 +0.000000477, ltcy: 0.16 us, exec: 0.05 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:12.5118130 1613830392.511813164 1613830392.511812210 +0.000000715, ltcy: 0.21 us, exec: 0.14 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:13.5120726 1613830393.512072563 1613830393.512071609 +0.000000715, ltcy: 0.27 us, exec: 0.25 us, limit: 0.12 us, leap: 00
GNS181PEX: 2021-02-20 14:13:14.5123584 1613830394.512358427 1613830394.512357473 +0.000000715, ltcy: 0.28 us, exec: 0.19 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:15.5126419 1613830395.512641907 1613830395.512641430 +0.000000477, ltcy: 0.09 us, exec: 0.05 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:16.5128203 1613830396.512820244 1613830396.512819767 +0.000000477, ltcy: 0.10 us, exec: 0.07 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:17.5130403 1613830397.513040304 1613830397.513039351 +0.000000715, ltcy: 0.28 us, exec: 0.24 us, limit: 0.12 us, leap: 00
GNS181PEX: 2021-02-20 14:13:18.5134168 1613830398.513416767 1613830398.513416052 +0.000000477, ltcy: 0.16 us, exec: 0.11 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:19.5136867 1613830399.513686895 1613830399.513685226 +0.000000954, ltcy: 0.62 us, exec: 0.21 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:20.5139329 1613830400.513932943 1613830400.513932228 +0.000000715, ltcy: 0.09 us, exec: 0.04 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:21.5141499 1613830401.514149904 1613830401.514149189 +0.000000715, ltcy: 0.09 us, exec: 0.05 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-20 14:13:22.5143568 1613830402.514356852 1613830402.514356136 +0.000000715, ltcy: 0.10 us, exec: 0.05 us, limit: 0.12 us, leap: 00 *
