
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-19 08:20:14.6750581 1613722814.675058126 1613722814.675056458 +0.000001669, ltcy: 0.10 us, exec: 0.04 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:15.6752517 1613722815.675251722 1613722815.675250053 +0.000001669, ltcy: 0.09 us, exec: 0.05 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:16.6754279 1613722816.675427914 1613722816.675426245 +0.000001669, ltcy: 0.12 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:17.6756935 1613722817.675693512 1613722817.675691843 +0.000001669, ltcy: 0.09 us, exec: 12.53 us, limit: 3.17 us, leap: 00
GNS181PEX: 2021-02-19 08:20:18.6758710 1613722818.675871134 1613722818.675869226 +0.000001907, ltcy: 0.11 us, exec: 0.14 us, limit: 2.56 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:19.6761201 1613722819.676120281 1613722819.676118374 +0.000001907, ltcy: 0.09 us, exec: 0.05 us, limit: 2.15 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:20.6763975 1613722820.676397562 1613722820.676395655 +0.000001907, ltcy: 0.10 us, exec: 0.05 us, limit: 1.85 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:21.6765788 1613722821.676578999 1613722821.676576853 +0.000002146, ltcy: 0.11 us, exec: 0.06 us, limit: 1.62 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:22.6768043 1613722822.676804304 1613722822.676802397 +0.000001907, ltcy: 0.09 us, exec: 0.05 us, limit: 1.45 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:23.6770090 1613722823.677009106 1613722823.677007198 +0.000001907, ltcy: 0.09 us, exec: 0.05 us, limit: 1.31 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:24.6771894 1613722824.677189589 1613722824.677187204 +0.000002146, ltcy: 0.27 us, exec: 0.07 us, limit: 1.20 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:25.6774156 1613722825.677415609 1613722825.677414417 +0.000001192, ltcy: 0.09 us, exec: 0.05 us, limit: 1.10 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:26.6776259 1613722826.677625895 1613722826.677625656 +0.000000238, ltcy: 0.09 us, exec: 0.04 us, limit: 1.02 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:27.6778318 1613722827.677831888 1613722827.677831411 +0.000000477, ltcy: 0.10 us, exec: 0.04 us, limit: 0.95 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:28.6780673 1613722828.678067446 1613722828.678066730 +0.000000715, ltcy: 0.10 us, exec: 0.06 us, limit: 0.89 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:29.6782495 1613722829.678249598 1613722829.678248882 +0.000000715, ltcy: 0.09 us, exec: 0.05 us, limit: 0.84 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:30.6784282 1613722830.678428173 1613722830.678427458 +0.000000715, ltcy: 0.11 us, exec: 0.05 us, limit: 0.79 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:31.6787045 1613722831.678704500 1613722831.678703785 +0.000000477, ltcy: 0.12 us, exec: 0.04 us, limit: 0.75 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:32.6788980 1613722832.678898096 1613722832.678897142 +0.000000954, ltcy: 0.10 us, exec: 0.07 us, limit: 0.71 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:33.6791564 1613722833.679156542 1613722833.679155350 +0.000000954, ltcy: 0.12 us, exec: 0.04 us, limit: 0.68 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:34.6794113 1613722834.679411411 1613722834.679410219 +0.000001192, ltcy: 0.10 us, exec: 0.15 us, limit: 0.65 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:35.6796763 1613722835.679676294 1613722835.679674864 +0.000000954, ltcy: 0.37 us, exec: 0.05 us, limit: 0.63 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:36.6798845 1613722836.679884672 1613722836.679883480 +0.000000954, ltcy: 0.12 us, exec: 0.06 us, limit: 0.60 us, leap: 00 *
