
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-19 08:20:19.5573827 1613722819.557382822 1613722819.557149410 +0.000233173, ltcy: 0.12 us, exec: 0.04 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:20.5575931 1613722820.557593107 1613722820.557359457 +0.000233650, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:21.5578123 1613722821.557812452 1613722821.557578564 +0.000233889, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:22.5579913 1613722822.557991266 1613722822.557757139 +0.000233889, ltcy: 0.13 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:23.5583095 1613722823.558309555 1613722823.558075190 +0.000234365, ltcy: 0.10 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:24.5584900 1613722824.558490038 1613722824.558255434 +0.000234604, ltcy: 0.11 us, exec: 0.07 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:25.5587696 1613722825.558769703 1613722825.558534622 +0.000235081, ltcy: 0.12 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:26.5590859 1613722826.559085846 1613722826.558850527 +0.000235319, ltcy: 0.11 us, exec: 0.07 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:27.5594420 1613722827.559442043 1613722827.559206486 +0.000235558, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:28.5596143 1613722828.559614420 1613722828.559378386 +0.000236034, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:29.5598816 1613722829.559881687 1613722829.559645414 +0.000236273, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:30.5601613 1613722830.560161352 1613722830.559924841 +0.000236511, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:31.5604844 1613722831.560484409 1613722831.560247660 +0.000236750, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:32.5607699 1613722832.560770035 1613722832.560532808 +0.000237226, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:33.5610633 1613722833.561063290 1613722833.560826063 +0.000237226, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:34.5612351 1613722834.561235189 1613722834.560997486 +0.000237703, ltcy: 0.09 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:35.5614402 1613722835.561440229 1613722835.561202288 +0.000237942, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:36.5616237 1613722836.561623812 1613722836.561385393 +0.000238419, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:37.5618011 1613722837.561801195 1613722837.561562538 +0.000238657, ltcy: 0.12 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:38.5620798 1613722838.562079906 1613722838.561885118 +0.000194550, ltcy: 0.13 us, exec: 0.07 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:39.5623215 1613722839.562321424 1613722839.562138319 +0.000183105, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:40.5625067 1613722840.562506676 1613722840.562318087 +0.000188351, ltcy: 0.13 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:41.5627328 1613722841.562732935 1613722841.562545300 +0.000187635, ltcy: 0.11 us, exec: 0.07 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:42.5629832 1613722842.562983274 1613722842.562795162 +0.000187874, ltcy: 0.13 us, exec: 0.07 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:43.5631914 1613722843.563191414 1613722843.563002825 +0.000188351, ltcy: 0.26 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:44.5634079 1613722844.563407898 1613722844.563219309 +0.000188589, ltcy: 0.11 us, exec: 0.11 us, limit: 0.06 us, leap: 00
GNS181PEX: 2021-02-19 08:20:45.5636129 1613722845.563612938 1613722845.563423872 +0.000189066, ltcy: 0.11 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:46.5638746 1613722846.563874722 1613722846.563685417 +0.000189304, ltcy: 0.12 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:47.5640881 1613722847.564088106 1613722847.563898563 +0.000189543, ltcy: 0.10 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:48.5643136 1613722848.564313650 1613722848.564123631 +0.000190020, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:49.5644889 1613722849.564488888 1613722849.564298630 +0.000190020, ltcy: 0.13 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:50.5647044 1613722850.564704418 1613722850.564513922 +0.000190496, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:51.5649000 1613722851.564899921 1613722851.564709187 +0.000190735, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:52.5651027 1613722852.565102816 1613722852.564911604 +0.000191212, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:53.5653373 1613722853.565337420 1613722853.565145731 +0.000191689, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:54.5655376 1613722854.565537691 1613722854.565345764 +0.000191927, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:55.5657363 1613722855.565736294 1613722855.565543890 +0.000192165, ltcy: 0.13 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:56.5659496 1613722856.565949678 1613722856.565757036 +0.000192404, ltcy: 0.15 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:57.5661352 1613722857.566135406 1613722857.565942287 +0.000193119, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:58.5663407 1613722858.566340685 1613722858.566147327 +0.000193357, ltcy: 0.11 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:59.5665270 1613722859.566527128 1613722859.566333294 +0.000193834, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:00.5667281 1613722860.566728115 1613722860.566534042 +0.000194073, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:01.5669298 1613722861.566929817 1613722861.566735506 +0.000194311, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:02.5671092 1613722862.567109346 1613722862.566914558 +0.000194788, ltcy: 0.11 us, exec: 0.07 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:03.5672957 1613722863.567295790 1613722863.567100763 +0.000195026, ltcy: 0.10 us, exec: 0.07 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:04.5675059 1613722864.567505836 1613722864.567310572 +0.000195265, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:05.5676871 1613722865.567687035 1613722865.567491531 +0.000195503, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:06.5678961 1613722866.567896128 1613722866.567699909 +0.000196218, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:07.5680476 1613722867.568047762 1613722867.567851305 +0.000196457, ltcy: 0.09 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:08.5682523 1613722868.568252325 1613722868.568055630 +0.000196695, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:09.5685103 1613722869.568510294 1613722869.568313122 +0.000197172, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:10.5687347 1613722870.568734646 1613722870.568537235 +0.000197172, ltcy: 0.13 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:11.5690252 1613722871.569025278 1613722871.568827391 +0.000197887, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:12.5692134 1613722872.569213390 1613722872.569015026 +0.000198126, ltcy: 0.13 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:13.5694232 1613722873.569423199 1613722873.569224596 +0.000198364, ltcy: 0.14 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:14.5696260 1613722874.569626093 1613722874.569427013 +0.000199080, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:15.5698401 1613722875.569840193 1613722875.569640875 +0.000199318, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:16.5700519 1613722876.570051908 1613722876.569852352 +0.000199556, ltcy: 0.10 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:17.5702261 1613722877.570226192 1613722877.570025921 +0.000200272, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:18.5703968 1613722878.570396900 1613722878.570196390 +0.000200510, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:19.5706077 1613722879.570607662 1613722879.570406914 +0.000200748, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:20.5708133 1613722880.570813417 1613722880.570612192 +0.000201225, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:21.5710834 1613722881.571083546 1613722881.570881844 +0.000201702, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:22.5713035 1613722882.571303606 1613722882.571101665 +0.000201941, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:23.5714976 1613722883.571497679 1613722883.571295261 +0.000202417, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:24.5717015 1613722884.571701527 1613722884.571498871 +0.000202656, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:25.5719131 1613722885.571913242 1613722885.571710110 +0.000203133, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:21:26.5720628 1613722886.572062969 1613722886.571859360 +0.000203609, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
