
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-19 08:20:25.2109300 1613722825.210930109 1613722825.210513353 +0.000416517, ltcy: 0.12 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:26.2111007 1613722826.211100817 1613722826.210683584 +0.000417233, ltcy: 0.10 us, exec: 0.07 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:27.2112864 1613722827.211286545 1613722827.210868835 +0.000417709, ltcy: 0.10 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:28.2115013 1613722828.211501360 1613722828.211083174 +0.000418186, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:29.2116822 1613722829.211682320 1613722829.211263657 +0.000418663, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:30.2118583 1613722830.211858511 1613722830.211439371 +0.000419140, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:31.2120375 1613722831.212037563 1613722831.211617947 +0.000419617, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:32.2122914 1613722832.212291479 1613722832.211871386 +0.000420094, ltcy: 0.10 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:33.2124748 1613722833.212474823 1613722833.212054253 +0.000420570, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:34.2126471 1613722834.212647200 1613722834.212226152 +0.000421047, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:35.2128015 1613722835.212801695 1613722835.212379932 +0.000421762, ltcy: 0.12 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:36.2129897 1613722836.212989807 1613722836.212567806 +0.000422001, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:37.2131656 1613722837.213165760 1613722837.212743282 +0.000422478, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-19 08:20:38.2133427 1613722838.213342667 1613722838.212919712 +0.000422955, ltcy: 0.10 us, exec: 0.07 us, limit: 0.05 us, leap: 00 *
