
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 3502655000 Hz
GNS181PEX: 2021-02-18 15:26:48.1653587 1613662008.165358782 1613662008.165196180 +0.000162601, ltcy: 0.11 us, exec: 0.37 us, limit: 0.37 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:49.1655399 1613662009.165539980 1613662009.165376902 +0.000162840, ltcy: 0.17 us, exec: 0.13 us, limit: 0.25 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:50.1657930 1613662010.165792942 1613662010.165630341 +0.000162363, ltcy: 0.18 us, exec: 0.08 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:51.1659737 1613662011.165973663 1613662011.165811062 +0.000162363, ltcy: 0.16 us, exec: 0.08 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:52.1661690 1613662012.166169167 1613662012.166006327 +0.000162601, ltcy: 0.14 us, exec: 0.08 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:53.1663499 1613662013.166349888 1613662013.166186571 +0.000163078, ltcy: 0.14 us, exec: 0.09 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:54.1665317 1613662014.166531801 1613662014.166368723 +0.000162840, ltcy: 0.13 us, exec: 0.08 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:55.1667150 1613662015.166715145 1613662015.166552067 +0.000162840, ltcy: 0.14 us, exec: 0.13 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:56.1703835 1613662016.170383453 1613662016.170219898 +0.000163317, ltcy: 0.15 us, exec: 0.14 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:57.1706067 1613662017.170606852 1613662017.170443058 +0.000163555, ltcy: 0.15 us, exec: 0.11 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:58.1708101 1613662018.170810223 1613662018.170645952 +0.000164032, ltcy: 0.35 us, exec: 0.28 us, limit: 0.14 us, leap: 00
GNS181PEX: 2021-02-18 15:26:59.1711040 1613662019.171104193 1613662019.170940161 +0.000163794, ltcy: 0.13 us, exec: 0.08 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:00.1712737 1613662020.171273708 1613662020.171110392 +0.000163078, ltcy: 0.13 us, exec: 0.08 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:01.1714742 1613662021.171474218 1613662021.171310663 +0.000163317, ltcy: 0.17 us, exec: 0.12 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:02.1716463 1613662022.171646357 1613662022.171482563 +0.000163555, ltcy: 0.13 us, exec: 0.11 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:03.1718392 1613662023.171839237 1613662023.171674967 +0.000164032, ltcy: 0.18 us, exec: 0.10 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:04.1720365 1613662024.172036648 1613662024.171872854 +0.000163555, ltcy: 0.14 us, exec: 0.10 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:05.1722163 1613662025.172216415 1613662025.172052383 +0.000163794, ltcy: 0.18 us, exec: 0.11 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:06.1724068 1613662026.172406912 1613662026.172242165 +0.000164509, ltcy: 0.22 us, exec: 0.07 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:07.1726388 1613662027.172638893 1613662027.172474384 +0.000164270, ltcy: 0.13 us, exec: 0.12 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:08.1728296 1613662028.172829628 1613662028.172665596 +0.000163794, ltcy: 0.14 us, exec: 0.12 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:09.1730304 1613662029.173030376 1613662029.172866106 +0.000164032, ltcy: 0.16 us, exec: 0.11 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:10.1732283 1613662030.173228502 1613662030.173063517 +0.000164747, ltcy: 0.18 us, exec: 0.12 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:11.1735384 1613662031.173538446 1613662031.173373461 +0.000164747, ltcy: 0.13 us, exec: 0.12 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:12.1737327 1613662032.173732758 1613662032.173567772 +0.000164747, ltcy: 0.13 us, exec: 0.10 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:13.1739276 1613662033.173927546 1613662033.173763275 +0.000164032, ltcy: 0.13 us, exec: 0.09 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:14.1741102 1613662034.174110413 1613662034.173945189 +0.000164986, ltcy: 0.13 us, exec: 0.08 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:15.1743174 1613662035.174317360 1613662035.174152136 +0.000164986, ltcy: 0.14 us, exec: 0.08 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:16.1863295 1613662036.186329603 1613662036.186164141 +0.000165224, ltcy: 0.15 us, exec: 0.09 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:17.1869732 1613662037.186973333 1613662037.186807632 +0.000165462, ltcy: 0.29 us, exec: 0.36 us, limit: 0.13 us, leap: 00
GNS181PEX: 2021-02-18 15:27:18.1872053 1613662038.187205315 1613662038.187040329 +0.000164747, ltcy: 0.15 us, exec: 0.12 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:19.1874773 1613662039.187477350 1613662039.187311649 +0.000165462, ltcy: 0.14 us, exec: 0.14 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:20.1879829 1613662040.187983036 1613662040.187817812 +0.000164986, ltcy: 0.14 us, exec: 0.09 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:21.1881814 1613662041.188181400 1613662041.188015699 +0.000165462, ltcy: 0.14 us, exec: 0.11 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:22.1883680 1613662042.188368082 1613662042.188202143 +0.000165701, ltcy: 0.18 us, exec: 0.08 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:23.1885510 1613662043.188551188 1613662043.188385248 +0.000165701, ltcy: 0.16 us, exec: 0.08 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:24.1887421 1613662044.188742161 1613662044.188576698 +0.000165224, ltcy: 0.15 us, exec: 0.12 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:25.1889424 1613662045.188942432 1613662045.188776731 +0.000165462, ltcy: 0.15 us, exec: 0.08 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:26.1891467 1613662046.189146757 1613662046.188980579 +0.000165939, ltcy: 0.13 us, exec: 0.07 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:27.1893368 1613662047.189336777 1613662047.189171076 +0.000165462, ltcy: 0.15 us, exec: 0.10 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:28.1895278 1613662048.189527988 1613662048.189361572 +0.000166178, ltcy: 0.14 us, exec: 0.08 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:29.1897110 1613662049.189711094 1613662049.189544678 +0.000166178, ltcy: 0.15 us, exec: 0.08 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:30.1898986 1613662050.189898729 1613662050.189732552 +0.000165939, ltcy: 0.14 us, exec: 0.08 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:31.1900842 1613662051.190084219 1613662051.189917803 +0.000166178, ltcy: 0.14 us, exec: 0.13 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:32.1902709 1613662052.190270901 1613662052.190104246 +0.000166416, ltcy: 0.19 us, exec: 0.09 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:33.1904572 1613662053.190457344 1613662053.190290928 +0.000166178, ltcy: 0.13 us, exec: 0.13 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:34.1906384 1613662054.190638304 1613662054.190472126 +0.000165939, ltcy: 0.14 us, exec: 0.09 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:35.1908774 1613662055.190877438 1613662055.190711021 +0.000166178, ltcy: 0.13 us, exec: 0.14 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:36.1910707 1613662056.191070795 1613662056.190903664 +0.000166893, ltcy: 0.14 us, exec: 0.15 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:37.1912821 1613662057.191282272 1613662057.191115141 +0.000166893, ltcy: 0.17 us, exec: 0.18 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:38.1914836 1613662058.191483498 1613662058.191317081 +0.000166178, ltcy: 0.14 us, exec: 0.09 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:39.1916793 1613662059.191679478 1613662059.191512108 +0.000167131, ltcy: 0.15 us, exec: 0.10 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:40.1918656 1613662060.191865683 1613662060.191698313 +0.000167131, ltcy: 0.13 us, exec: 0.10 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:41.1920591 1613662061.192059278 1613662061.191892385 +0.000166655, ltcy: 0.14 us, exec: 0.10 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:42.1922684 1613662062.192268372 1613662062.192101002 +0.000167131, ltcy: 0.13 us, exec: 0.09 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:43.1924687 1613662063.192468643 1613662063.192301035 +0.000167370, ltcy: 0.14 us, exec: 0.12 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:44.1926716 1613662064.192671537 1613662064.192503929 +0.000167370, ltcy: 0.13 us, exec: 0.08 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:45.1928656 1613662065.192865610 1613662065.192698479 +0.000166893, ltcy: 0.14 us, exec: 0.10 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:46.1930634 1613662066.193063498 1613662066.192895412 +0.000167847, ltcy: 0.14 us, exec: 0.11 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:47.1932619 1613662067.193261862 1613662067.193094730 +0.000166893, ltcy: 0.13 us, exec: 0.08 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:48.1934813 1613662068.193481445 1613662068.193313122 +0.000168085, ltcy: 0.29 us, exec: 0.24 us, limit: 0.12 us, leap: 00
GNS181PEX: 2021-02-18 15:27:49.1937238 1613662069.193723917 1613662069.193556309 +0.000167370, ltcy: 0.14 us, exec: 0.18 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:50.1939437 1613662070.193943739 1613662070.193775654 +0.000167847, ltcy: 0.15 us, exec: 0.09 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:51.1941377 1613662071.194137812 1613662071.193969488 +0.000168085, ltcy: 0.14 us, exec: 0.11 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:52.1943793 1613662072.194379330 1613662072.194211006 +0.000168085, ltcy: 0.15 us, exec: 0.08 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:53.1945625 1613662073.194562435 1613662073.194394112 +0.000168085, ltcy: 0.19 us, exec: 0.11 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:54.1947777 1613662074.194777727 1613662074.194609165 +0.000168324, ltcy: 0.17 us, exec: 0.12 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:55.1949676 1613662075.194967747 1613662075.194799662 +0.000167847, ltcy: 0.15 us, exec: 0.08 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:56.1951679 1613662076.195168018 1613662076.194999218 +0.000168562, ltcy: 0.14 us, exec: 0.08 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:57.1953416 1613662077.195341587 1613662077.195173025 +0.000168324, ltcy: 0.15 us, exec: 0.09 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:58.1955328 1613662078.195532799 1613662078.195363998 +0.000168562, ltcy: 0.15 us, exec: 0.13 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:59.1957174 1613662079.195717573 1613662079.195548534 +0.000168800, ltcy: 0.14 us, exec: 0.14 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:00.1959132 1613662080.195913315 1613662080.195744514 +0.000168562, ltcy: 0.13 us, exec: 0.11 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:01.1961125 1613662081.196112633 1613662081.195943594 +0.000168800, ltcy: 0.14 us, exec: 0.09 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:02.1963302 1613662082.196330309 1613662082.196161509 +0.000168562, ltcy: 0.17 us, exec: 0.11 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:03.1965302 1613662083.196530342 1613662083.196361542 +0.000168562, ltcy: 0.13 us, exec: 0.08 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:04.1967182 1613662084.196718216 1613662084.196549416 +0.000168562, ltcy: 0.14 us, exec: 0.08 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:05.1969021 1613662085.196902037 1613662085.196732759 +0.000169039, ltcy: 0.14 us, exec: 0.07 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:06.1970939 1613662086.197093964 1613662086.196924448 +0.000169277, ltcy: 0.17 us, exec: 0.08 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:07.1972818 1613662087.197281837 1613662087.197112799 +0.000168800, ltcy: 0.14 us, exec: 0.08 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:08.1974807 1613662088.197480917 1613662088.197311163 +0.000169516, ltcy: 0.28 us, exec: 0.08 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:09.1976958 1613662089.197695732 1613662089.197526455 +0.000169039, ltcy: 0.14 us, exec: 0.07 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:10.1978904 1613662090.197890520 1613662090.197721243 +0.000169039, ltcy: 0.14 us, exec: 0.10 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:11.1980840 1613662091.198084116 1613662091.197914124 +0.000169754, ltcy: 0.13 us, exec: 0.10 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:12.1982743 1613662092.198274374 1613662092.198104858 +0.000169277, ltcy: 0.13 us, exec: 0.11 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:13.1984939 1613662093.198493958 1613662093.198323965 +0.000169754, ltcy: 0.13 us, exec: 0.10 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:14.1986842 1613662094.198684216 1613662094.198514462 +0.000169516, ltcy: 0.29 us, exec: 0.07 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:15.1988765 1613662095.198876619 1613662095.198706388 +0.000169992, ltcy: 0.14 us, exec: 0.08 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:16.1990653 1613662096.199065447 1613662096.198894978 +0.000170231, ltcy: 0.14 us, exec: 0.10 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:17.1992510 1613662097.199251175 1613662097.199081182 +0.000169754, ltcy: 0.13 us, exec: 0.12 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:18.1994434 1613662098.199443340 1613662098.199272871 +0.000170231, ltcy: 0.15 us, exec: 0.09 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:19.1996314 1613662099.199631453 1613662099.199460745 +0.000170469, ltcy: 0.13 us, exec: 0.07 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:20.1998226 1613662100.199822664 1613662100.199652433 +0.000169992, ltcy: 0.14 us, exec: 0.12 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:21.2000088 1613662101.200008869 1613662101.199838638 +0.000169992, ltcy: 0.14 us, exec: 0.06 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:22.2002019 1613662102.200201988 1613662102.200031042 +0.000170708, ltcy: 0.13 us, exec: 0.11 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:23.2003944 1613662103.200394392 1613662103.200223446 +0.000170708, ltcy: 0.14 us, exec: 0.25 us, limit: 0.10 us, leap: 00
GNS181PEX: 2021-02-18 15:28:24.2006508 1613662104.200650692 1613662104.200480223 +0.000170231, ltcy: 0.13 us, exec: 0.08 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:25.2009296 1613662105.200929642 1613662105.200758457 +0.000170946, ltcy: 0.14 us, exec: 0.13 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:26.2011420 1613662106.201142073 1613662106.200970888 +0.000170946, ltcy: 0.14 us, exec: 0.11 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:27.2014401 1613662107.201440096 1613662107.201268911 +0.000170946, ltcy: 0.14 us, exec: 0.07 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:28.2016354 1613662108.201635361 1613662108.201463938 +0.000171185, ltcy: 0.21 us, exec: 0.09 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:29.2018272 1613662109.201827288 1613662109.201655626 +0.000171423, ltcy: 0.14 us, exec: 0.12 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:30.2020137 1613662110.202013731 1613662110.201842070 +0.000171423, ltcy: 0.14 us, exec: 0.11 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:31.2022190 1613662111.202219009 1613662111.202047348 +0.000171423, ltcy: 0.14 us, exec: 0.08 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:32.2024328 1613662112.202432871 1613662112.202261686 +0.000170946, ltcy: 0.18 us, exec: 0.11 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:33.2026361 1613662113.202636242 1613662113.202464342 +0.000171661, ltcy: 0.13 us, exec: 0.12 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:34.2028276 1613662114.202827692 1613662114.202655792 +0.000171661, ltcy: 0.15 us, exec: 0.09 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-18 15:28:35.2030208 1613662115.203020811 1613662115.202848673 +0.000171900, ltcy: 0.14 us, exec: 0.09 us, limit: 0.10 us, leap: 00 *
