
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-18 15:26:38.4608565 1613661998.460856676 1613661998.466420412 -0.005563736, ltcy: 0.10 us, exec: 0.04 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:39.4610192 1613661999.461019278 1613661999.466582537 -0.005563498, ltcy: 0.33 us, exec: 0.04 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:40.4612058 1613662000.461205721 1613662000.466768742 -0.005563259, ltcy: 0.25 us, exec: 0.13 us, limit: 0.07 us, leap: 00
GNS181PEX: 2021-02-18 15:26:41.4614758 1613662001.461475849 1613662001.467038870 -0.005563021, ltcy: 0.10 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:42.4616484 1613662002.461648464 1613662002.467211008 -0.005562544, ltcy: 0.10 us, exec: 0.04 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:43.4618263 1613662003.461826324 1613662003.467388391 -0.005562305, ltcy: 0.26 us, exec: 0.07 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:44.4620330 1613662004.462033033 1613662004.467594862 -0.005561829, ltcy: 0.10 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:45.4622595 1613662005.462259531 1613662005.467821121 -0.005561590, ltcy: 0.10 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:46.4624634 1613662006.462463379 1613662006.468024731 -0.005561352, ltcy: 0.10 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:47.4627023 1613662007.462702274 1613662007.468263149 -0.005560875, ltcy: 0.10 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:48.4628710 1613662008.462871075 1613662008.468431473 -0.005560398, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:49.4630720 1613662009.463072062 1613662009.468632221 -0.005560160, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:50.4632794 1613662010.463279486 1613662010.468839169 -0.005559683, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:51.4634904 1613662011.463490486 1613662011.469049692 -0.005559206, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:52.4627959 1613662012.462795973 1613662012.469247103 -0.006451368, ltcy: 0.12 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:53.4578095 1613662013.457809448 1613662013.469510555 -0.011701345, ltcy: 0.12 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:54.4527484 1613662014.452748537 1613662014.469699144 -0.016950607, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:55.4517987 1613662015.451798677 1613662015.470092535 -0.018293858, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:56.4518337 1613662016.451833725 1613662016.470303774 -0.018470049, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:57.4519170 1613662017.451917171 1613662017.470563650 -0.018646717, ltcy: 0.13 us, exec: 0.08 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:26:58.4520015 1613662018.452001572 1613662018.470824480 -0.018822908, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
