
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-18 15:27:06.0662903 1613662026.066290379 1613662026.076020718 -0.009730339, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:07.0664234 1613662027.066423416 1613662027.076279640 -0.009856224, ltcy: 0.11 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:08.0664669 1613662028.066467047 1613662028.076448679 -0.009981632, ltcy: 0.10 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:09.0665511 1613662029.066551208 1613662029.076658726 -0.010107756, ltcy: 0.13 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:10.0666261 1613662030.066626072 1613662030.076859474 -0.010233402, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:11.0667780 1613662031.066778183 1613662031.077137232 -0.010359049, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:12.0668683 1613662032.066868305 1613662032.077353239 -0.010484934, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:13.0669290 1613662033.066929102 1613662033.077539682 -0.010610580, ltcy: 0.09 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:14.0670823 1613662034.067082405 1613662034.077818871 -0.010736465, ltcy: 0.10 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:15.0671588 1613662035.067158937 1613662035.078021049 -0.010862112, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-18 15:27:16.0672362 1613662036.067236185 1613662036.078224182 -0.010987997, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
