
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-24 14:47:56.2184005 1614178076.218400478 1614178076.218309164 +0.000091314, ltcy: 0.11 us, exec: 0.06 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-24 14:47:57.2185941 1614178077.218594074 1614178077.218502760 +0.000091314, ltcy: 0.10 us, exec: 0.10 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-24 14:47:58.2187982 1614178078.218798161 1614178078.218706608 +0.000091553, ltcy: 0.11 us, exec: 0.10 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-24 14:47:59.2190172 1614178079.219017267 1614178079.218925238 +0.000091791, ltcy: 0.15 us, exec: 0.16 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:00.2192920 1614178080.219292164 1614178080.219199896 +0.000092268, ltcy: 0.11 us, exec: 0.17 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:01.2195036 1614178081.219503641 1614178081.219411373 +0.000092268, ltcy: 0.11 us, exec: 0.15 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:02.2197400 1614178082.219740152 1614178082.219647408 +0.000092745, ltcy: 0.11 us, exec: 0.11 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:03.2199979 1614178083.219997883 1614178083.219905138 +0.000092745, ltcy: 0.11 us, exec: 0.13 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:04.2202604 1614178084.220260382 1614178084.220167398 +0.000092983, ltcy: 0.10 us, exec: 0.06 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:05.2204518 1614178085.220451832 1614178085.220358372 +0.000093460, ltcy: 0.11 us, exec: 0.11 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:06.2207040 1614178086.220704079 1614178086.220610380 +0.000093699, ltcy: 0.11 us, exec: 0.13 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:07.2209247 1614178087.220924854 1614178087.220830917 +0.000093937, ltcy: 0.12 us, exec: 0.09 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:08.2211430 1614178088.221143007 1614178088.221048832 +0.000094175, ltcy: 0.11 us, exec: 0.16 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:09.2213743 1614178089.221374273 1614178089.221279860 +0.000094175, ltcy: 0.15 us, exec: 0.10 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:10.2215937 1614178090.221593857 1614178090.221499205 +0.000094652, ltcy: 0.11 us, exec: 0.20 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:11.2217791 1614178091.221779108 1614178091.221684217 +0.000094891, ltcy: 0.11 us, exec: 0.15 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:12.2220110 1614178092.222011089 1614178092.221915960 +0.000095129, ltcy: 0.12 us, exec: 0.08 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:13.2222364 1614178093.222236395 1614178093.222141027 +0.000095367, ltcy: 0.11 us, exec: 0.17 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:14.2224711 1614178094.222471237 1614178094.222375393 +0.000095844, ltcy: 0.11 us, exec: 0.08 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:15.2226640 1614178095.222664118 1614178095.222568035 +0.000096083, ltcy: 0.10 us, exec: 0.09 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:16.2228527 1614178096.222852707 1614178096.222756624 +0.000096083, ltcy: 0.11 us, exec: 0.13 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:17.2230452 1614178097.223045349 1614178097.222948790 +0.000096560, ltcy: 0.11 us, exec: 0.08 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:18.2233095 1614178098.223309517 1614178098.223212719 +0.000096798, ltcy: 0.10 us, exec: 0.07 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:19.2235017 1614178099.223501682 1614178099.223404646 +0.000097036, ltcy: 0.11 us, exec: 0.10 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:20.2237292 1614178100.223729134 1614178100.223631859 +0.000097275, ltcy: 0.11 us, exec: 0.04 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:21.2246055 1614178101.224605560 1614178101.224507809 +0.000097513, ltcy: 0.12 us, exec: 0.12 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:22.2250508 1614178102.225050926 1614178102.224952936 +0.000097990, ltcy: 0.10 us, exec: 0.13 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:23.2252963 1614178103.225296259 1614178103.225198269 +0.000097990, ltcy: 0.10 us, exec: 0.10 us, limit: 0.11 us, leap: 00 *
