
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-24 14:48:07.4309012 1614178087.430901289 1614178087.430686235 +0.000214815, ltcy: 0.13 us, exec: 0.06 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:08.4310743 1614178088.431074381 1614178088.430859089 +0.000215054, ltcy: 0.13 us, exec: 0.10 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:09.4312840 1614178089.431283951 1614178089.431068659 +0.000215054, ltcy: 0.13 us, exec: 0.06 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:10.4314801 1614178090.431480169 1614178090.431264400 +0.000215769, ltcy: 0.11 us, exec: 0.07 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:11.4320151 1614178091.432015181 1614178091.431799173 +0.000215769, ltcy: 0.15 us, exec: 0.10 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:12.4322179 1614178092.432218075 1614178092.432001591 +0.000216246, ltcy: 0.12 us, exec: 0.09 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:13.4324377 1614178093.432437658 1614178093.432220936 +0.000216484, ltcy: 0.12 us, exec: 0.13 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:14.4326353 1614178094.432635307 1614178094.432418346 +0.000216722, ltcy: 0.14 us, exec: 0.15 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:15.4328443 1614178095.432844400 1614178095.432626963 +0.000217438, ltcy: 0.11 us, exec: 0.06 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:16.4330825 1614178096.433082581 1614178096.432864904 +0.000217438, ltcy: 0.14 us, exec: 0.09 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:17.4333380 1614178097.433337927 1614178097.433120012 +0.000217676, ltcy: 0.14 us, exec: 0.11 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:18.4335403 1614178098.433540344 1614178098.433322191 +0.000217915, ltcy: 0.13 us, exec: 0.10 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:19.4337261 1614178099.433726072 1614178099.433507442 +0.000218630, ltcy: 0.11 us, exec: 0.09 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:20.4339206 1614178100.433920622 1614178100.433701754 +0.000218630, ltcy: 0.13 us, exec: 0.07 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:21.4341084 1614178101.434108496 1614178101.433889151 +0.000219107, ltcy: 0.13 us, exec: 0.07 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:22.4347553 1614178102.434755325 1614178102.434535742 +0.000219584, ltcy: 0.11 us, exec: 0.10 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:23.4350175 1614178103.435017586 1614178103.434797525 +0.000219822, ltcy: 0.14 us, exec: 0.09 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:24.4356509 1614178104.435651064 1614178104.435430765 +0.000220060, ltcy: 0.13 us, exec: 0.09 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:25.4359050 1614178105.435904980 1614178105.435684443 +0.000220537, ltcy: 0.11 us, exec: 0.12 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:26.4361686 1614178106.436168671 1614178106.435947657 +0.000220776, ltcy: 0.13 us, exec: 0.07 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:27.4364320 1614178107.436432123 1614178107.436210871 +0.000221252, ltcy: 0.11 us, exec: 0.06 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:28.4366908 1614178108.436690807 1614178108.436469316 +0.000221252, ltcy: 0.15 us, exec: 0.47 us, limit: 0.11 us, leap: 00
GNS181PEX: 2021-02-24 14:48:29.4369612 1614178109.436961174 1614178109.436739445 +0.000221491, ltcy: 0.13 us, exec: 0.10 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:30.4371663 1614178110.437166214 1614178110.436944008 +0.000222206, ltcy: 0.11 us, exec: 0.10 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:31.4373782 1614178111.437378168 1614178111.437155724 +0.000222445, ltcy: 0.11 us, exec: 0.08 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:32.4375892 1614178112.437589407 1614178112.437366486 +0.000222921, ltcy: 0.11 us, exec: 0.10 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:33.4377995 1614178113.437799692 1614178113.437576294 +0.000223160, ltcy: 0.13 us, exec: 0.04 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:34.4380244 1614178114.438024521 1614178114.437800884 +0.000223398, ltcy: 0.13 us, exec: 0.06 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:35.4382195 1614178115.438219547 1614178115.437995672 +0.000223875, ltcy: 0.11 us, exec: 0.04 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:36.4384500 1614178116.438450098 1614178116.438225985 +0.000223875, ltcy: 0.13 us, exec: 0.07 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:37.4386501 1614178117.438650131 1614178117.438425541 +0.000224590, ltcy: 0.11 us, exec: 0.10 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:38.4388557 1614178118.438855648 1614178118.438630819 +0.000224590, ltcy: 0.13 us, exec: 0.10 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:39.4390602 1614178119.439060211 1614178119.438835144 +0.000224829, ltcy: 0.12 us, exec: 0.06 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:40.4393194 1614178120.439319372 1614178120.439093828 +0.000225544, ltcy: 0.11 us, exec: 0.10 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:41.4395249 1614178121.439524889 1614178121.439299107 +0.000225544, ltcy: 0.13 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:42.4397435 1614178122.439743519 1614178122.439517260 +0.000226021, ltcy: 0.14 us, exec: 0.04 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:43.4399378 1614178123.439937830 1614178123.439711332 +0.000226498, ltcy: 0.11 us, exec: 0.08 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:44.4400925 1614178124.440092564 1614178124.439865589 +0.000226736, ltcy: 0.14 us, exec: 0.06 us, limit: 0.10 us, leap: 00 *
