
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 3502655000 Hz
GNS181PEX: 2021-02-24 14:47:47.3479982 1614178067.347998142 1614178067.347635508 +0.000362635, ltcy: 0.09 us, exec: 0.07 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-24 14:47:48.3483406 1614178068.348340750 1614178068.347977877 +0.000362635, ltcy: 0.16 us, exec: 0.16 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-24 14:47:49.3485599 1614178069.348559856 1614178069.348197222 +0.000362396, ltcy: 0.14 us, exec: 0.16 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-24 14:47:50.3545873 1614178070.354587317 1614178070.354224443 +0.000362635, ltcy: 0.16 us, exec: 0.17 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-24 14:47:51.3547896 1614178071.354789734 1614178071.354426861 +0.000362635, ltcy: 0.15 us, exec: 0.22 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:47:52.3549850 1614178072.354984999 1614178072.354622364 +0.000362396, ltcy: 0.13 us, exec: 0.14 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:47:53.3552171 1614178073.355217218 1614178073.354854345 +0.000362635, ltcy: 0.22 us, exec: 0.16 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:47:54.3573123 1614178074.357312202 1614178074.356949329 +0.000362635, ltcy: 0.29 us, exec: 0.18 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-24 14:47:55.3575951 1614178075.357595205 1614178075.357232332 +0.000362635, ltcy: 0.15 us, exec: 0.10 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:47:56.3578575 1614178076.357857466 1614178076.357494593 +0.000362635, ltcy: 0.14 us, exec: 0.20 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-24 14:47:57.3601334 1614178077.360133410 1614178077.359770536 +0.000362635, ltcy: 0.15 us, exec: 0.18 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-24 14:47:58.3603646 1614178078.360364676 1614178078.360001802 +0.000362635, ltcy: 0.14 us, exec: 0.12 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:47:59.3606110 1614178079.360610962 1614178079.360248089 +0.000362635, ltcy: 0.15 us, exec: 0.14 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:00.3608026 1614178080.360802650 1614178080.360439539 +0.000362873, ltcy: 0.28 us, exec: 0.19 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:01.3610316 1614178081.361031532 1614178081.360668659 +0.000362635, ltcy: 0.15 us, exec: 0.15 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:02.3613003 1614178082.361300468 1614178082.360937595 +0.000362635, ltcy: 0.15 us, exec: 0.09 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:03.3615083 1614178083.361508369 1614178083.361145496 +0.000362635, ltcy: 0.15 us, exec: 0.16 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:04.3617776 1614178084.361777544 1614178084.361414671 +0.000362635, ltcy: 0.14 us, exec: 0.20 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:05.3619757 1614178085.361975670 1614178085.361612797 +0.000362635, ltcy: 0.15 us, exec: 0.11 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:06.3622610 1614178086.362261057 1614178086.361897945 +0.000362873, ltcy: 0.14 us, exec: 0.13 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:07.3624607 1614178087.362460852 1614178087.362097740 +0.000362873, ltcy: 0.15 us, exec: 0.15 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:08.3627346 1614178088.362734556 1614178088.362371683 +0.000362635, ltcy: 0.14 us, exec: 0.16 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:09.3629908 1614178089.362990856 1614178089.362627745 +0.000362873, ltcy: 0.22 us, exec: 0.14 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:10.3632757 1614178090.363275766 1614178090.362912655 +0.000362873, ltcy: 0.20 us, exec: 0.14 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:11.3635359 1614178091.363535881 1614178091.363173008 +0.000362635, ltcy: 0.16 us, exec: 0.14 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:12.3637803 1614178092.363780260 1614178092.363417387 +0.000362635, ltcy: 0.22 us, exec: 0.09 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:13.3639726 1614178093.363972664 1614178093.363609552 +0.000362873, ltcy: 0.15 us, exec: 0.14 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:14.3642836 1614178094.364283800 1614178094.363920689 +0.000362873, ltcy: 0.20 us, exec: 0.13 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:15.3647344 1614178095.364734411 1614178095.364371300 +0.000362873, ltcy: 0.16 us, exec: 0.09 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:16.3649946 1614178096.364994764 1614178096.364631653 +0.000362873, ltcy: 0.14 us, exec: 0.12 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:17.3657474 1614178097.365747452 1614178097.365384340 +0.000362873, ltcy: 0.17 us, exec: 0.16 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:18.3659544 1614178098.365954399 1614178098.365591526 +0.000362635, ltcy: 0.15 us, exec: 0.12 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:19.3661499 1614178099.366149902 1614178099.365787268 +0.000362396, ltcy: 0.15 us, exec: 0.15 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:20.3664241 1614178100.366424084 1614178100.366061211 +0.000362635, ltcy: 0.14 us, exec: 0.14 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:21.3669734 1614178101.366973400 1614178101.366610289 +0.000362873, ltcy: 0.15 us, exec: 0.13 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:22.3672233 1614178102.367223263 1614178102.366860151 +0.000362873, ltcy: 0.14 us, exec: 0.09 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:23.3674414 1614178103.367441416 1614178103.367078304 +0.000362873, ltcy: 0.22 us, exec: 0.24 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:24.3677413 1614178104.367741346 1614178104.367378235 +0.000362873, ltcy: 0.14 us, exec: 0.12 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:25.3679281 1614178105.367928028 1614178105.367564917 +0.000362873, ltcy: 0.15 us, exec: 0.13 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:26.3681698 1614178106.368169785 1614178106.367806673 +0.000362873, ltcy: 0.15 us, exec: 0.17 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:27.3684412 1614178107.368441343 1614178107.368077993 +0.000363111, ltcy: 0.21 us, exec: 0.21 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:28.3686504 1614178108.368650436 1614178108.368287325 +0.000362873, ltcy: 0.16 us, exec: 0.14 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:29.3688425 1614178109.368842602 1614178109.368479490 +0.000362873, ltcy: 0.14 us, exec: 0.09 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:30.3690302 1614178110.369030237 1614178110.368667126 +0.000362873, ltcy: 0.16 us, exec: 0.10 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:31.3692205 1614178111.369220495 1614178111.368857145 +0.000363111, ltcy: 0.23 us, exec: 0.15 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-24 14:48:32.3694257 1614178112.369425774 1614178112.369062662 +0.000362873, ltcy: 0.23 us, exec: 0.29 us, limit: 0.14 us, leap: 00
GNS181PEX: 2021-02-24 14:48:33.3696801 1614178113.369680166 1614178113.369317055 +0.000362873, ltcy: 0.14 us, exec: 0.15 us, limit: 0.14 us, leap: 00 *
