
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-17 18:17:06.0269854 1613585826.026985407 1613585826.026884794 +0.000100374, ltcy: 0.14 us, exec: 0.06 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:07.0271615 1613585827.027161598 1613585827.027060747 +0.000100613, ltcy: 0.12 us, exec: 0.15 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:08.0275588 1613585828.027558804 1613585828.027457952 +0.000100851, ltcy: 0.11 us, exec: 0.08 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:09.0278318 1613585829.027831793 1613585829.027730703 +0.000101089, ltcy: 0.11 us, exec: 0.12 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:10.0281033 1613585830.028103352 1613585830.028002024 +0.000101089, ltcy: 0.13 us, exec: 0.10 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:11.0284014 1613585831.028401613 1613585831.028299809 +0.000101805, ltcy: 0.12 us, exec: 0.07 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:12.0286683 1613585832.028668404 1613585832.028566599 +0.000101805, ltcy: 0.12 us, exec: 0.12 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:13.0289737 1613585833.028973818 1613585833.028871775 +0.000102043, ltcy: 0.11 us, exec: 0.11 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:14.0294969 1613585834.029496908 1613585834.029394627 +0.000102043, ltcy: 0.15 us, exec: 0.10 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:15.0297424 1613585835.029742479 1613585835.029639959 +0.000102282, ltcy: 0.13 us, exec: 0.09 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:16.0299371 1613585836.029937029 1613585836.029834509 +0.000102282, ltcy: 0.14 us, exec: 0.07 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:17.0303305 1613585837.030330420 1613585837.030227661 +0.000102520, ltcy: 0.15 us, exec: 0.45 us, limit: 0.13 us, leap: 00
GNS181PEX: 2021-02-17 18:17:18.0305324 1613585838.030532360 1613585838.030429363 +0.000102758, ltcy: 0.13 us, exec: 0.12 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:19.0308065 1613585839.030806541 1613585839.030703306 +0.000102997, ltcy: 0.13 us, exec: 0.45 us, limit: 0.15 us, leap: 00
GNS181PEX: 2021-02-17 18:17:20.0310805 1613585840.031080484 1613585840.030977249 +0.000103235, ltcy: 0.12 us, exec: 0.06 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:21.0313144 1613585841.031314373 1613585841.031210899 +0.000103474, ltcy: 0.11 us, exec: 0.17 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:22.0318880 1613585842.031888008 1613585842.031784296 +0.000103474, ltcy: 0.13 us, exec: 0.08 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:23.0322351 1613585843.032235146 1613585843.032130957 +0.000103951, ltcy: 0.17 us, exec: 0.12 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:24.0325259 1613585844.032526016 1613585844.032421827 +0.000103951, ltcy: 0.13 us, exec: 0.11 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:25.0331054 1613585845.033105373 1613585845.033000946 +0.000104189, ltcy: 0.14 us, exec: 0.06 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:26.0333739 1613585846.033374071 1613585846.033269405 +0.000104427, ltcy: 0.13 us, exec: 0.12 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:27.0336650 1613585847.033664942 1613585847.033560276 +0.000104666, ltcy: 0.11 us, exec: 0.08 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:28.0339336 1613585848.033933640 1613585848.033828497 +0.000104904, ltcy: 0.13 us, exec: 0.16 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:29.0355769 1613585849.035577059 1613585849.035471678 +0.000105381, ltcy: 0.11 us, exec: 0.10 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:30.0359929 1613585850.035992861 1613585850.035887480 +0.000105143, ltcy: 0.13 us, exec: 0.11 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:31.0363017 1613585851.036301851 1613585851.036195993 +0.000105858, ltcy: 0.11 us, exec: 0.14 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:32.0365060 1613585852.036506176 1613585852.036400318 +0.000105858, ltcy: 0.12 us, exec: 0.10 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:33.0367324 1613585853.036732435 1613585853.036626339 +0.000105858, ltcy: 0.13 us, exec: 0.10 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:34.0369551 1613585854.036955118 1613585854.036848783 +0.000106096, ltcy: 0.13 us, exec: 0.12 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:35.0371621 1613585855.037162066 1613585855.037055492 +0.000106573, ltcy: 0.11 us, exec: 0.09 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:36.0377553 1613585856.037755489 1613585856.037648678 +0.000106573, ltcy: 0.13 us, exec: 0.13 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:37.0380171 1613585857.038017273 1613585857.037910223 +0.000106812, ltcy: 0.14 us, exec: 0.04 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:38.0383189 1613585858.038318872 1613585858.038211823 +0.000107050, ltcy: 0.11 us, exec: 0.11 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:39.0384936 1613585859.038493633 1613585859.038386822 +0.000106812, ltcy: 0.11 us, exec: 0.06 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:40.0386963 1613585860.038696289 1613585860.038590431 +0.000105619, ltcy: 0.14 us, exec: 0.10 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:41.0388940 1613585861.038893938 1613585861.038788795 +0.000104904, ltcy: 0.13 us, exec: 0.06 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:42.0390463 1613585862.039046288 1613585862.038942099 +0.000104189, ltcy: 0.11 us, exec: 0.06 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:43.0393619 1613585863.039361954 1613585863.039258480 +0.000103474, ltcy: 0.11 us, exec: 0.19 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:44.0396270 1613585864.039627075 1613585864.039524317 +0.000102520, ltcy: 0.13 us, exec: 0.13 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:45.0402494 1613585865.040249348 1613585865.040147543 +0.000101566, ltcy: 0.13 us, exec: 0.15 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 18:17:46.0406279 1613585866.040627956 1613585866.040526867 +0.000100851, ltcy: 0.14 us, exec: 0.13 us, limit: 0.13 us, leap: 00 *
