
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 3502655000 Hz
GNS181PEX: 2021-02-17 18:16:36.4248829 1613585796.424882889 1613585796.424559832 +0.000323057, ltcy: 0.10 us, exec: 0.08 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:37.4314079 1613585797.431407928 1613585797.431010962 +0.000396729, ltcy: 0.18 us, exec: 0.15 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:38.4316610 1613585798.431661129 1613585798.431246281 +0.000414610, ltcy: 0.22 us, exec: 0.32 us, limit: 0.19 us, leap: 00
GNS181PEX: 2021-02-17 18:16:39.4320318 1613585799.432031870 1613585799.431630611 +0.000401020, ltcy: 0.15 us, exec: 0.16 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:40.4322547 1613585800.432254791 1613585800.431867838 +0.000386715, ltcy: 0.13 us, exec: 0.09 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:41.4324964 1613585801.432496548 1613585801.432120085 +0.000376225, ltcy: 0.18 us, exec: 0.16 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:42.4327983 1613585802.432798386 1613585802.432429552 +0.000368595, ltcy: 0.15 us, exec: 0.10 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:43.4330530 1613585803.433053017 1613585803.432692289 +0.000360489, ltcy: 0.14 us, exec: 0.09 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:44.4332429 1613585804.433243036 1613585804.432888985 +0.000353813, ltcy: 0.19 us, exec: 0.18 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:45.4335541 1613585805.433554173 1613585805.433207750 +0.000346184, ltcy: 0.16 us, exec: 0.12 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:46.4338097 1613585806.433809757 1613585806.433470964 +0.000338554, ltcy: 0.16 us, exec: 0.15 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:47.4340098 1613585807.434009790 1613585807.433678627 +0.000330925, ltcy: 0.15 us, exec: 0.08 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:48.4342698 1613585808.434269905 1613585808.433946133 +0.000323534, ltcy: 0.16 us, exec: 0.18 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:49.4347442 1613585809.434744358 1613585809.434427977 +0.000316143, ltcy: 0.20 us, exec: 0.09 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:50.4349207 1613585810.434920788 1613585810.434612036 +0.000308514, ltcy: 0.17 us, exec: 0.24 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:51.4351345 1613585811.435134649 1613585811.434833527 +0.000300884, ltcy: 0.17 us, exec: 0.11 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:52.4353251 1613585812.435325146 1613585812.435031414 +0.000293493, ltcy: 0.13 us, exec: 0.12 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:53.4354947 1613585813.435494661 1613585813.435208559 +0.000285864, ltcy: 0.15 us, exec: 0.11 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:54.4357013 1613585814.435701370 1613585814.435422421 +0.000278711, ltcy: 0.17 us, exec: 0.36 us, limit: 0.15 us, leap: 00
GNS181PEX: 2021-02-17 18:16:55.4359834 1613585815.435983419 1613585815.435712337 +0.000270844, ltcy: 0.13 us, exec: 0.09 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:56.4361573 1613585816.436157227 1613585816.435893774 +0.000263214, ltcy: 0.16 us, exec: 0.09 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:57.4363465 1613585817.436346531 1613585817.436090946 +0.000255346, ltcy: 0.15 us, exec: 0.09 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:58.4365479 1613585818.436547995 1613585818.436299324 +0.000248432, ltcy: 0.15 us, exec: 0.10 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-17 18:16:59.4367359 1613585819.436735868 1613585819.436494827 +0.000240803, ltcy: 0.14 us, exec: 0.09 us, limit: 0.14 us, leap: 00 *
