
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 3502655000 Hz
GNS181PEX: 2021-02-16 20:13:24.5083915 1613506404.508391619 1613506404.508391619 +0.000000000, ltcy: 0.09 us, exec: 0.09 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:25.5086237 1613506405.508623838 1613506405.508623600 +0.000000000, ltcy: 0.15 us, exec: 0.16 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:26.5088867 1613506406.508886814 1613506406.508886576 +0.000000000, ltcy: 0.14 us, exec: 0.14 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:27.5091230 1613506407.509123087 1613506407.509122610 +0.000000238, ltcy: 0.23 us, exec: 0.27 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:28.5093690 1613506408.509369135 1613506408.509368896 +0.000000000, ltcy: 0.14 us, exec: 0.13 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:29.5095887 1613506409.509588718 1613506409.509588480 +0.000000000, ltcy: 0.16 us, exec: 0.21 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:30.5097968 1613506410.509796858 1613506410.509797096 -0.000000477, ltcy: 0.22 us, exec: 0.29 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:31.5100071 1613506411.510007143 1613506411.510006905 +0.000000000, ltcy: 0.16 us, exec: 0.16 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:32.5101743 1613506412.510174274 1613506412.510174274 -0.000000238, ltcy: 0.13 us, exec: 0.07 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:33.5103886 1613506413.510388613 1613506413.510388613 -0.000000238, ltcy: 0.16 us, exec: 0.20 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:34.5214490 1613506414.521449089 1613506414.521448851 +0.000000000, ltcy: 0.27 us, exec: 0.31 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:35.5218485 1613506415.521848679 1613506415.521848440 +0.000000000, ltcy: 0.17 us, exec: 0.14 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:36.5294391 1613506416.529439211 1613506416.529439211 -0.000000238, ltcy: 0.14 us, exec: 0.17 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:37.5296443 1613506417.529644251 1613506417.529644251 -0.000000238, ltcy: 0.18 us, exec: 0.13 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:38.5298480 1613506418.529848099 1613506418.529847860 +0.000000000, ltcy: 0.14 us, exec: 0.15 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:39.5300528 1613506419.530052900 1613506419.530052662 +0.000000000, ltcy: 0.15 us, exec: 0.14 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:40.5302541 1613506420.530254126 1613506420.530254126 -0.000000238, ltcy: 0.16 us, exec: 0.16 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:41.5305154 1613506421.530515432 1613506421.530514956 +0.000000238, ltcy: 0.33 us, exec: 0.39 us, limit: 0.18 us, leap: 00
GNS181PEX: 2021-02-16 20:13:42.5307575 1613506422.530757666 1613506422.530757427 +0.000000000, ltcy: 0.21 us, exec: 0.17 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:43.5310848 1613506423.531084776 1613506423.531084776 -0.000000238, ltcy: 0.14 us, exec: 0.16 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:44.5313798 1613506424.531379938 1613506424.531379700 +0.000000000, ltcy: 0.15 us, exec: 0.11 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:45.5316810 1613506425.531681061 1613506425.531681061 -0.000000238, ltcy: 0.14 us, exec: 0.16 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:46.5319480 1613506426.531948090 1613506426.531947851 +0.000000000, ltcy: 0.16 us, exec: 0.17 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:47.5341678 1613506427.534167767 1613506427.534167767 -0.000000238, ltcy: 0.14 us, exec: 0.13 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:48.5344808 1613506428.534480810 1613506428.534480810 -0.000000238, ltcy: 0.15 us, exec: 0.16 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:49.5348446 1613506429.534844637 1613506429.534844398 +0.000000000, ltcy: 0.19 us, exec: 0.31 us, limit: 0.18 us, leap: 00
GNS181PEX: 2021-02-16 20:13:50.5351041 1613506430.535104275 1613506430.535104036 +0.000000000, ltcy: 0.14 us, exec: 0.12 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:51.5353113 1613506431.535311460 1613506431.535311460 -0.000000238, ltcy: 0.13 us, exec: 0.14 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:52.5355424 1613506432.535542488 1613506432.535542011 +0.000000000, ltcy: 0.37 us, exec: 0.62 us, limit: 0.19 us, leap: 00
GNS181PEX: 2021-02-16 20:13:53.5357804 1613506433.535780430 1613506433.535780430 -0.000000238, ltcy: 0.15 us, exec: 0.16 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:54.5422379 1613506434.542237997 1613506434.542238235 -0.000000477, ltcy: 0.15 us, exec: 0.24 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:55.5461777 1613506435.546177864 1613506435.546177626 +0.000000000, ltcy: 0.14 us, exec: 0.25 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:56.5582297 1613506436.558229685 1613506436.558229685 -0.000000238, ltcy: 0.15 us, exec: 0.16 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:57.5585571 1613506437.558557272 1613506437.558556795 +0.000000000, ltcy: 0.39 us, exec: 0.19 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:58.5587920 1613506438.558792114 1613506438.558791637 +0.000000000, ltcy: 0.55 us, exec: 0.31 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:13:59.5590313 1613506439.559031248 1613506439.559031010 +0.000000000, ltcy: 0.16 us, exec: 0.18 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:00.5661712 1613506440.566171169 1613506440.566171169 -0.000000238, ltcy: 0.20 us, exec: 0.16 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:01.5663736 1613506441.566373587 1613506441.566373587 -0.000000238, ltcy: 0.31 us, exec: 0.30 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:02.5666097 1613506442.566609621 1613506442.566609859 -0.000000477, ltcy: 0.14 us, exec: 0.14 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:03.5668066 1613506443.566806555 1613506443.566806555 -0.000000238, ltcy: 0.14 us, exec: 0.17 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:04.5670046 1613506444.567004681 1613506444.567004681 -0.000000238, ltcy: 0.14 us, exec: 0.12 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:05.5741773 1613506445.574177265 1613506445.574177265 -0.000000238, ltcy: 0.19 us, exec: 0.22 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:06.5822564 1613506446.582256556 1613506446.582256317 +0.000000000, ltcy: 0.24 us, exec: 0.19 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:07.5901712 1613506447.590171337 1613506447.590171099 +0.000000000, ltcy: 0.15 us, exec: 0.15 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:08.5982538 1613506448.598253727 1613506448.598253727 -0.000000238, ltcy: 0.15 us, exec: 0.19 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:09.5984767 1613506449.598476887 1613506449.598476648 +0.000000000, ltcy: 0.14 us, exec: 0.15 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:10.5987007 1613506450.598700762 1613506450.598700523 +0.000000000, ltcy: 0.25 us, exec: 0.27 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:11.5989538 1613506451.598953724 1613506451.598953724 -0.000000238, ltcy: 0.23 us, exec: 0.21 us, limit: 0.21 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:12.5993535 1613506452.599353552 1613506452.599353790 -0.000000477, ltcy: 0.13 us, exec: 0.09 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:13.6011508 1613506453.601150990 1613506453.601150751 +0.000000000, ltcy: 0.21 us, exec: 0.18 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:14.6014900 1613506454.601490021 1613506454.601489782 +0.000000000, ltcy: 0.24 us, exec: 0.42 us, limit: 0.20 us, leap: 00
GNS181PEX: 2021-02-16 20:14:15.6019115 1613506455.601911545 1613506455.601911306 +0.000000000, ltcy: 0.32 us, exec: 0.15 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:16.6021684 1613506456.602168322 1613506456.602168322 -0.000000238, ltcy: 0.16 us, exec: 0.14 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:17.6023680 1613506457.602368116 1613506457.602368116 -0.000000238, ltcy: 0.16 us, exec: 0.12 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:18.6025821 1613506458.602582216 1613506458.602581978 +0.000000000, ltcy: 0.19 us, exec: 0.17 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:19.6061819 1613506459.606181860 1613506459.606181860 -0.000000238, ltcy: 0.17 us, exec: 0.10 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:20.6065236 1613506460.606523514 1613506460.606523514 -0.000000238, ltcy: 0.18 us, exec: 0.15 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:21.6068406 1613506461.606840611 1613506461.606840611 -0.000000238, ltcy: 0.15 us, exec: 0.15 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:22.6070424 1613506462.607042313 1613506462.607042313 -0.000000238, ltcy: 0.17 us, exec: 0.28 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:23.6072667 1613506463.607266665 1613506463.607267141 -0.000000715, ltcy: 0.14 us, exec: 0.12 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:24.6077008 1613506464.607700825 1613506464.607700825 -0.000000238, ltcy: 0.17 us, exec: 0.16 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:25.6142351 1613506465.614235163 1613506465.614235163 -0.000000238, ltcy: 0.16 us, exec: 0.23 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:26.6144443 1613506466.614444256 1613506466.614444256 -0.000000238, ltcy: 0.17 us, exec: 0.31 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:27.6147001 1613506467.614700079 1613506467.614700079 -0.000000238, ltcy: 0.24 us, exec: 0.34 us, limit: 0.19 us, leap: 00
GNS181PEX: 2021-02-16 20:14:28.6149569 1613506468.614957094 1613506468.614957094 -0.000000238, ltcy: 0.16 us, exec: 0.14 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:29.6151599 1613506469.615159988 1613506469.615159988 -0.000000238, ltcy: 0.15 us, exec: 0.10 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:30.6153667 1613506470.615366697 1613506470.615366697 -0.000000238, ltcy: 0.16 us, exec: 0.18 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:31.6156484 1613506471.615648508 1613506471.615648270 +0.000000000, ltcy: 0.16 us, exec: 0.22 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:32.6159545 1613506472.615954399 1613506472.615954399 -0.000000238, ltcy: 0.19 us, exec: 0.12 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:33.6162288 1613506473.616228819 1613506473.616228819 -0.000000238, ltcy: 0.15 us, exec: 0.16 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:34.6164701 1613506474.616470098 1613506474.616469860 +0.000000000, ltcy: 0.35 us, exec: 0.34 us, limit: 0.19 us, leap: 00
GNS181PEX: 2021-02-16 20:14:35.6168224 1613506475.616822481 1613506475.616822004 +0.000000238, ltcy: 0.21 us, exec: 0.52 us, limit: 0.20 us, leap: 00
GNS181PEX: 2021-02-16 20:14:36.6170735 1613506476.617073536 1613506476.617073536 -0.000000238, ltcy: 0.15 us, exec: 0.16 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:37.6173270 1613506477.617326975 1613506477.617326975 -0.000000238, ltcy: 0.24 us, exec: 0.19 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:38.6175704 1613506478.617570400 1613506478.617570400 -0.000000238, ltcy: 0.16 us, exec: 0.18 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-16 20:14:39.6178038 1613506479.617803812 1613506479.617803574 +0.000000000, ltcy: 0.36 us, exec: 0.25 us, limit: 0.20 us, leap: 00 *
