
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-17 09:33:45.2333881 1613554425.233388186 1613554425.233386517 +0.000001431, ltcy: 0.24 us, exec: 0.28 us, limit: 0.28 us, leap: 00 *
GNS181PEX: 2021-02-17 09:33:46.2336040 1613554426.233603954 1613554426.233602762 +0.000000954, ltcy: 0.15 us, exec: 0.07 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-17 09:33:47.2338093 1613554427.233809233 1613554427.233808041 +0.000000954, ltcy: 0.15 us, exec: 0.05 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-17 09:33:48.2340440 1613554428.234044075 1613554428.234042645 +0.000001192, ltcy: 0.13 us, exec: 0.06 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-17 09:33:49.2342786 1613554429.234278679 1613554429.234277248 +0.000001192, ltcy: 0.15 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-17 09:33:50.2344949 1613554430.234494925 1613554430.234493494 +0.000001431, ltcy: 0.11 us, exec: 0.04 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-17 09:33:51.2347348 1613554431.234734774 1613554431.234733343 +0.000001192, ltcy: 0.14 us, exec: 0.04 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-17 09:33:52.2350241 1613554432.235024214 1613554432.235022783 +0.000001431, ltcy: 0.10 us, exec: 0.05 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-17 09:33:53.2352956 1613554433.235295534 1613554433.235294104 +0.000001431, ltcy: 0.12 us, exec: 0.06 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-17 09:33:54.2355754 1613554434.235575438 1613554434.235574007 +0.000001431, ltcy: 0.10 us, exec: 0.05 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-17 09:33:55.2358604 1613554435.235860348 1613554435.235858917 +0.000001192, ltcy: 0.15 us, exec: 0.07 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-17 09:33:56.2361364 1613554436.236136436 1613554436.236135006 +0.000001192, ltcy: 0.13 us, exec: 0.07 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-17 09:33:57.2363396 1613554437.236339569 1613554437.236338139 +0.000001192, ltcy: 0.15 us, exec: 0.05 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-17 09:33:58.2365905 1613554438.236590624 1613554438.236588955 +0.000001669, ltcy: 0.10 us, exec: 0.05 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-17 09:33:59.2367874 1613554439.236787558 1613554439.236785889 +0.000001431, ltcy: 0.13 us, exec: 0.07 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:00.2369859 1613554440.236985922 1613554440.236984253 +0.000001431, ltcy: 0.15 us, exec: 0.05 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:01.2372419 1613554441.237241983 1613554441.237240314 +0.000001669, ltcy: 0.10 us, exec: 0.05 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:02.2375014 1613554442.237501383 1613554442.237499714 +0.000001669, ltcy: 0.12 us, exec: 0.06 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:03.2377855 1613554443.237785578 1613554443.237783909 +0.000001669, ltcy: 0.12 us, exec: 0.05 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:04.2379927 1613554444.237992764 1613554444.237991095 +0.000001669, ltcy: 0.11 us, exec: 0.12 us, limit: 0.07 us, leap: 00
GNS181PEX: 2021-02-17 09:34:05.2382850 1613554445.238285065 1613554445.238283157 +0.000001669, ltcy: 0.14 us, exec: 0.08 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:06.2386966 1613554446.238696575 1613554446.238694906 +0.000001431, ltcy: 0.14 us, exec: 0.06 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:07.2389420 1613554447.238941908 1613554447.238940239 +0.000001431, ltcy: 0.12 us, exec: 0.06 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:08.2391361 1613554448.239136219 1613554448.239134312 +0.000001907, ltcy: 0.11 us, exec: 0.06 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-17 09:34:09.2393318 1613554449.239331722 1613554449.239329815 +0.000001669, ltcy: 0.14 us, exec: 0.11 us, limit: 0.07 us, leap: 00 *
