
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 3502655000 Hz
GNS181PEX: 2021-02-22 07:31:10.8900185 1613979070.890018702 1613979070.889561176 +0.000457525, ltcy: 0.11 us, exec: 0.11 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:11.8901990 1613979071.890198946 1613979071.889742136 +0.000456572, ltcy: 0.16 us, exec: 0.14 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:12.8904292 1613979072.890429258 1613979072.889971495 +0.000457525, ltcy: 0.15 us, exec: 0.19 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:13.8907077 1613979073.890707731 1613979073.890249968 +0.000457525, ltcy: 0.17 us, exec: 0.11 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:14.8909372 1613979074.890937328 1613979074.890479565 +0.000457525, ltcy: 0.18 us, exec: 0.22 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:15.8911723 1613979075.891172409 1613979075.890714407 +0.000457764, ltcy: 0.15 us, exec: 0.19 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:16.8913695 1613979076.891369581 1613979076.890911341 +0.000458002, ltcy: 0.16 us, exec: 0.16 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:17.8915744 1613979077.891574383 1613979077.891115904 +0.000458241, ltcy: 0.17 us, exec: 0.15 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:18.8918093 1613979078.891809225 1613979078.891350746 +0.000458241, ltcy: 0.22 us, exec: 0.19 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:19.8920765 1613979079.892076492 1613979079.891617537 +0.000458479, ltcy: 0.42 us, exec: 0.16 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:20.8922997 1613979080.892299891 1613979080.891840935 +0.000458717, ltcy: 0.14 us, exec: 0.13 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:21.8925090 1613979081.892508984 1613979081.892050028 +0.000458717, ltcy: 0.15 us, exec: 0.15 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:22.8928213 1613979082.892821312 1613979082.892362118 +0.000458956, ltcy: 0.33 us, exec: 0.35 us, limit: 0.17 us, leap: 00
GNS181PEX: 2021-02-22 07:31:23.8930776 1613979083.893077612 1613979083.892618418 +0.000458956, ltcy: 0.15 us, exec: 0.15 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:24.8934085 1613979084.893408537 1613979084.892949343 +0.000458956, ltcy: 0.14 us, exec: 0.19 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:25.8936115 1613979085.893611670 1613979085.893151999 +0.000459433, ltcy: 0.16 us, exec: 0.15 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:26.8938828 1613979086.893882990 1613979086.893423319 +0.000459671, ltcy: 0.10 us, exec: 0.19 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:27.8941240 1613979087.894124031 1613979087.893664122 +0.000459671, ltcy: 0.20 us, exec: 0.42 us, limit: 0.19 us, leap: 00
GNS181PEX: 2021-02-22 07:31:28.8944129 1613979088.894412994 1613979088.893952847 +0.000459909, ltcy: 0.20 us, exec: 0.19 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:29.8946732 1613979089.894673347 1613979089.894213200 +0.000459909, ltcy: 0.15 us, exec: 0.20 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:30.8949544 1613979090.894954443 1613979090.894494295 +0.000459909, ltcy: 0.20 us, exec: 0.23 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:31.8951950 1613979091.895195007 1613979091.894734621 +0.000460148, ltcy: 0.15 us, exec: 0.20 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:32.8954138 1613979092.895413876 1613979092.894953489 +0.000460148, ltcy: 0.14 us, exec: 0.14 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:33.8956254 1613979093.895625353 1613979093.895164967 +0.000460386, ltcy: 0.10 us, exec: 0.19 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:34.8958769 1613979094.895876884 1613979094.895416021 +0.000460625, ltcy: 0.20 us, exec: 0.24 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:35.8961398 1613979095.896139860 1613979095.895678997 +0.000460863, ltcy: 0.10 us, exec: 0.19 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:36.8963847 1613979096.896384716 1613979096.895923615 +0.000460863, ltcy: 0.15 us, exec: 0.24 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:37.8966631 1613979097.896663189 1613979097.896201849 +0.000461102, ltcy: 0.20 us, exec: 0.19 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:38.8969370 1613979098.896937132 1613979098.896475792 +0.000461102, ltcy: 0.15 us, exec: 0.26 us, limit: 0.19 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:39.8971972 1613979099.897197247 1613979099.896735907 +0.000461340, ltcy: 0.09 us, exec: 0.25 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:40.8974304 1613979100.897430420 1613979100.896968842 +0.000461340, ltcy: 0.20 us, exec: 0.19 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:41.8976905 1613979101.897690535 1613979101.897228956 +0.000461578, ltcy: 0.10 us, exec: 0.20 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:42.8979382 1613979102.897938251 1613979102.897476196 +0.000461817, ltcy: 0.14 us, exec: 0.34 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:43.8981917 1613979103.898191690 1613979103.897729874 +0.000461817, ltcy: 0.10 us, exec: 0.20 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:44.8984568 1613979104.898456812 1613979104.897994757 +0.000461817, ltcy: 0.15 us, exec: 0.21 us, limit: 0.21 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:45.8986850 1613979105.898684978 1613979105.898222685 +0.000462055, ltcy: 0.14 us, exec: 0.14 us, limit: 0.21 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:46.8988780 1613979106.898878098 1613979106.898415565 +0.000462294, ltcy: 0.20 us, exec: 0.23 us, limit: 0.21 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:47.8991285 1613979107.899128675 1613979107.898665905 +0.000462532, ltcy: 0.17 us, exec: 0.25 us, limit: 0.21 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:48.8993571 1613979108.899357080 1613979108.898894310 +0.000462532, ltcy: 0.15 us, exec: 0.24 us, limit: 0.21 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:49.8996247 1613979109.899624825 1613979109.899161816 +0.000463009, ltcy: 0.10 us, exec: 0.19 us, limit: 0.21 us, leap: 00 *
