
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-22 07:31:21.2921933 1613979081.292193413 1613979081.291938305 +0.000254869, ltcy: 0.13 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:22.2923983 1613979082.292398453 1613979082.292143106 +0.000255346, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:23.2925768 1613979083.292576790 1613979083.292321205 +0.000255585, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:24.2927478 1613979084.292747736 1613979084.292491913 +0.000255823, ltcy: 0.09 us, exec: 0.04 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:25.2929462 1613979085.292946339 1613979085.292690039 +0.000256300, ltcy: 0.10 us, exec: 0.04 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:26.2931506 1613979086.293150663 1613979086.292894125 +0.000256538, ltcy: 0.11 us, exec: 0.05 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:27.2932928 1613979087.293292761 1613979087.293036222 +0.000256538, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:28.2935045 1613979088.293504477 1613979088.293247700 +0.000256777, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:29.2936822 1613979089.293682098 1613979089.293425083 +0.000257015, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:30.2938637 1613979090.293863773 1613979090.293606043 +0.000257492, ltcy: 0.14 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:31.2940700 1613979091.294070005 1613979091.293812275 +0.000257492, ltcy: 0.14 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:32.2942411 1613979092.294241190 1613979092.293982983 +0.000258207, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:33.2945288 1613979093.294528723 1613979093.294270515 +0.000258207, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:34.2947862 1613979094.294786215 1613979094.294527769 +0.000258207, ltcy: 0.13 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:35.2950107 1613979095.295010805 1613979095.294751644 +0.000258923, ltcy: 0.22 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:36.2952202 1613979096.295220375 1613979096.294960976 +0.000259399, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:37.2954344 1613979097.295434475 1613979097.295175076 +0.000259399, ltcy: 0.12 us, exec: 0.11 us, limit: 0.05 us, leap: 00
GNS181PEX: 2021-02-22 07:31:38.2956273 1613979098.295627356 1613979098.295367479 +0.000259638, ltcy: 0.13 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:39.2958324 1613979099.295832396 1613979099.295572519 +0.000259876, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:40.2960104 1613979100.296010494 1613979100.295750141 +0.000260115, ltcy: 0.12 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:41.2962159 1613979101.296216011 1613979101.295955420 +0.000260592, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:42.2964276 1613979102.296427727 1613979102.296166658 +0.000261068, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:43.2966313 1613979103.296631336 1613979103.296370268 +0.000261068, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:44.2968889 1613979104.296889067 1613979104.296627522 +0.000261307, ltcy: 0.15 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:45.2971497 1613979105.297149897 1613979105.296888113 +0.000261784, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:46.2973650 1613979106.297364950 1613979106.297103167 +0.000261784, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:47.2976382 1613979107.297638178 1613979107.297375917 +0.000262260, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:48.2978285 1613979108.297828674 1613979108.297565937 +0.000262737, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:49.2980333 1613979109.298033476 1613979109.297770500 +0.000262976, ltcy: 0.12 us, exec: 0.07 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:50.2982615 1613979110.298261642 1613979110.297998428 +0.000263214, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:51.2984702 1613979111.298470259 1613979111.298206806 +0.000263453, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:52.2986732 1613979112.298673153 1613979112.298409462 +0.000263691, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:53.2989153 1613979113.298915386 1613979113.298651457 +0.000263929, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:54.2991856 1613979114.299185514 1613979114.298921347 +0.000264168, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:55.2994477 1613979115.299447775 1613979115.299183130 +0.000264645, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:56.2997345 1613979116.299734592 1613979116.299469709 +0.000264883, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:57.2999821 1613979117.299982071 1613979117.299716949 +0.000265121, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:58.3001292 1613979118.300129175 1613979118.299863815 +0.000265360, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:31:59.3003022 1613979119.300302267 1613979119.300036430 +0.000265598, ltcy: 0.13 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:00.3004784 1613979120.300478458 1613979120.300212383 +0.000266075, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:01.3007105 1613979121.300710678 1613979121.300444126 +0.000266314, ltcy: 0.13 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:02.3009010 1613979122.300901175 1613979122.300634384 +0.000266552, ltcy: 0.15 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:03.3010832 1613979123.301083326 1613979123.300816298 +0.000266790, ltcy: 0.16 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:04.3012724 1613979124.301272392 1613979124.301005125 +0.000267267, ltcy: 0.12 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:05.3015061 1613979125.301506042 1613979125.301238537 +0.000267267, ltcy: 0.13 us, exec: 0.07 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:06.3017566 1613979126.301756620 1613979126.301488876 +0.000267744, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:07.3020047 1613979127.302004814 1613979127.301736593 +0.000268221, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:08.3022219 1613979128.302222013 1613979128.301953554 +0.000268459, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:09.3024522 1613979129.302452326 1613979129.302183628 +0.000268698, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:10.3026584 1613979130.302658558 1613979130.302389383 +0.000269175, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:11.3028361 1613979131.302836180 1613979131.302567005 +0.000269175, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:12.3030405 1613979132.303040504 1613979132.302771091 +0.000269413, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:13.3032441 1613979133.303244114 1613979133.302974224 +0.000269890, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:14.3034630 1613979134.303462982 1613979134.303192854 +0.000270128, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:15.3036596 1613979135.303659678 1613979135.303388834 +0.000270605, ltcy: 0.19 us, exec: 0.13 us, limit: 0.05 us, leap: 00
GNS181PEX: 2021-02-22 07:32:16.3038624 1613979136.303862572 1613979136.303591728 +0.000270605, ltcy: 0.13 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:17.3040845 1613979137.304084539 1613979137.303813457 +0.000271082, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:18.3042941 1613979138.304294109 1613979138.304022789 +0.000271320, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:19.3044691 1613979139.304469109 1613979139.304197550 +0.000271559, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:20.3046402 1613979140.304640293 1613979140.304368258 +0.000272036, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:21.3048156 1613979141.304815769 1613979141.304543495 +0.000272274, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:22.3049886 1613979142.304988623 1613979142.304716110 +0.000272512, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:23.3052233 1613979143.305223465 1613979143.304950476 +0.000272989, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:24.3054208 1613979144.305420876 1613979144.305147648 +0.000273228, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:25.3056286 1613979145.305628777 1613979145.305355072 +0.000273466, ltcy: 0.12 us, exec: 0.07 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:26.3059095 1613979146.305909634 1613979146.305635691 +0.000273943, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:27.3061666 1613979147.306166649 1613979147.305892467 +0.000273943, ltcy: 0.15 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:28.3064014 1613979148.306401491 1613979148.306126833 +0.000274658, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:29.3065876 1613979149.306587696 1613979149.306312799 +0.000274897, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:30.3067887 1613979150.306788683 1613979150.306513548 +0.000274897, ltcy: 0.14 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:31.3069784 1613979151.306978464 1613979151.306703091 +0.000275135, ltcy: 0.13 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:32.3072071 1613979152.307207108 1613979152.306931496 +0.000275373, ltcy: 0.15 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:33.3074104 1613979153.307410479 1613979153.307134390 +0.000276089, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:34.3076228 1613979154.307622910 1613979154.307346582 +0.000276327, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:35.3078502 1613979155.307850361 1613979155.307573557 +0.000276566, ltcy: 0.12 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:36.3080473 1613979156.308047295 1613979156.307770491 +0.000276804, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:37.3082246 1613979157.308224678 1613979157.307947397 +0.000277281, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-22 07:32:38.3084383 1613979158.308438301 1613979158.308160782 +0.000277519, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
