
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-21 14:16:15.1645513 1613916975.164551497 1613916975.164189339 +0.000361919, ltcy: 0.19 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:16.1647485 1613916976.164748430 1613916976.164386034 +0.000362396, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:17.1649323 1613916977.164932489 1613916977.164569378 +0.000363111, ltcy: 0.10 us, exec: 0.04 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:18.1651504 1613916978.165150404 1613916978.164786816 +0.000363588, ltcy: 0.09 us, exec: 0.04 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:19.1653624 1613916979.165362358 1613916979.164998293 +0.000363827, ltcy: 0.13 us, exec: 0.04 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:20.1655485 1613916980.165548563 1613916980.165183783 +0.000364780, ltcy: 0.10 us, exec: 0.04 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:21.1658134 1613916981.165813446 1613916981.165448189 +0.000365257, ltcy: 0.10 us, exec: 0.05 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:22.1660325 1613916982.166032553 1613916982.165666819 +0.000365734, ltcy: 0.10 us, exec: 0.05 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:23.1663428 1613916983.166342974 1613916983.165976524 +0.000366449, ltcy: 0.09 us, exec: 0.04 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:24.1665811 1613916984.166581154 1613916984.166214228 +0.000366926, ltcy: 0.10 us, exec: 0.05 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:25.1667885 1613916985.166788578 1613916985.166421175 +0.000367403, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:26.1669639 1613916986.166964054 1613916986.166595936 +0.000368118, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:27.1671349 1613916987.167135000 1613916987.166766405 +0.000368595, ltcy: 0.10 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:28.1673053 1613916988.167305470 1613916988.166936159 +0.000369310, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:29.1675182 1613916989.167518139 1613916989.167148352 +0.000369549, ltcy: 0.12 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:30.1677317 1613916990.167731762 1613916990.167361498 +0.000370264, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:31.1679364 1613916991.167936563 1613916991.167565584 +0.000370979, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:32.1681499 1613916992.168149948 1613916992.167776823 +0.000373125, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:33.1683491 1613916993.168349266 1613916993.167977333 +0.000371933, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:34.1685598 1613916994.168559790 1613916994.168187380 +0.000372410, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:35.1687332 1613916995.168733358 1613916995.168360233 +0.000373125, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:36.1689083 1613916996.168908358 1613916996.168534279 +0.000373602, ltcy: 0.38 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:37.1691687 1613916997.169168711 1613916997.168794632 +0.000374079, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:38.1693563 1613916998.169356346 1613916998.168981552 +0.000374794, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:39.1696178 1613916999.169617891 1613916999.169242382 +0.000375271, ltcy: 0.13 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:40.1698836 1613917000.169883728 1613917000.169507504 +0.000375986, ltcy: 0.13 us, exec: 0.10 us, limit: 0.05 us, leap: 00
GNS181PEX: 2021-02-21 14:16:41.1701540 1613917001.170154095 1613917001.169777632 +0.000376463, ltcy: 0.11 us, exec: 0.14 us, limit: 0.05 us, leap: 00
GNS181PEX: 2021-02-21 14:16:42.1704337 1613917002.170433760 1613917002.170056581 +0.000377178, ltcy: 0.10 us, exec: 0.07 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:43.1706617 1613917003.170661688 1613917003.170284033 +0.000377655, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:44.1708581 1613917004.170858145 1613917004.170480013 +0.000378132, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:45.1710304 1613917005.171030521 1613917005.170651674 +0.000378847, ltcy: 0.10 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:46.1712082 1613917006.171208143 1613917006.170828342 +0.000379324, ltcy: 0.39 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:47.1713891 1613917007.171389103 1613917007.171009064 +0.000380039, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:48.1715908 1613917008.171590805 1613917008.171210289 +0.000380516, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:49.1717629 1613917009.171762943 1613917009.171381712 +0.000381231, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:50.1719660 1613917010.171966076 1613917010.171584368 +0.000381708, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:51.1721817 1613917011.172181606 1613917011.171799421 +0.000382185, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:52.1723967 1613917012.172396898 1613917012.172013998 +0.000382900, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:53.1725756 1613917013.172575712 1613917013.172192097 +0.000383615, ltcy: 0.11 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:54.1728297 1613917014.172829866 1613917014.172445774 +0.000384092, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:55.1730957 1613917015.173095703 1613917015.172711134 +0.000384569, ltcy: 0.10 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:56.1733279 1613917016.173327923 1613917016.172942400 +0.000385046, ltcy: 0.42 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:57.1735439 1613917017.173543930 1613917017.173157692 +0.000385761, ltcy: 0.42 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:58.1737186 1613917018.173718691 1613917018.173332453 +0.000386238, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:59.1738909 1613917019.173891068 1613917019.173504114 +0.000386953, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:17:00.1741701 1613917020.174170256 1613917020.173782587 +0.000387669, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:17:01.1744393 1613917021.174439430 1613917021.174051046 +0.000388145, ltcy: 0.19 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
