
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 3502655000 Hz
GNS181PEX: 2021-02-21 14:16:09.8871752 1613916969.887175322 1613916969.886719227 +0.000456095, ltcy: 0.09 us, exec: 0.10 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:10.8873490 1613916970.887349129 1613916970.886892557 +0.000456333, ltcy: 0.20 us, exec: 0.18 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:11.8876004 1613916971.887600422 1613916971.887143850 +0.000456333, ltcy: 0.19 us, exec: 0.19 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:12.8878560 1613916972.887856007 1613916972.887398720 +0.000457048, ltcy: 0.31 us, exec: 0.19 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:13.8881087 1613916973.888108730 1613916973.887651205 +0.000457287, ltcy: 0.20 us, exec: 0.20 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:14.8883628 1613916974.888362885 1613916974.887905121 +0.000457525, ltcy: 0.20 us, exec: 0.19 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:15.8886064 1613916975.888606548 1613916975.888148546 +0.000457764, ltcy: 0.20 us, exec: 0.19 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:16.8888501 1613916976.888850212 1613916976.888392210 +0.000457764, ltcy: 0.20 us, exec: 0.18 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:17.8890850 1613916977.889085054 1613916977.888627052 +0.000457764, ltcy: 0.20 us, exec: 0.16 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:18.8893246 1613916978.889324665 1613916978.888866663 +0.000457764, ltcy: 0.21 us, exec: 0.21 us, limit: 0.18 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:19.8895728 1613916979.889572859 1613916979.889114380 +0.000458241, ltcy: 0.18 us, exec: 0.18 us, limit: 0.18 us, leap: 00 *
