
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-21 14:16:21.0726944 1613916981.072694540 1613916981.072535515 +0.000158787, ltcy: 0.12 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:22.0728840 1613916982.072884083 1613916982.072725058 +0.000158787, ltcy: 0.15 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:23.0730790 1613916983.073079109 1613916983.072919846 +0.000159264, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:24.0732641 1613916984.073264122 1613916984.073104858 +0.000159264, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:25.0734359 1613916985.073436022 1613916985.073276520 +0.000159502, ltcy: 0.11 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:26.0736399 1613916986.073639870 1613916986.073479891 +0.000159740, ltcy: 0.16 us, exec: 0.04 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:27.0738287 1613916987.073828697 1613916987.073668957 +0.000159502, ltcy: 0.14 us, exec: 0.07 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:28.0740117 1613916988.074011803 1613916988.073851824 +0.000159979, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:29.0741957 1613916989.074195862 1613916989.074035883 +0.000159979, ltcy: 0.12 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:30.0743832 1613916990.074383259 1613916990.074223042 +0.000160217, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:31.0745547 1613916991.074554682 1613916991.074394464 +0.000160217, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:32.0747281 1613916992.074728012 1613916992.074567556 +0.000160456, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:33.0749092 1613916993.074909210 1613916993.074748755 +0.000160456, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:34.0751212 1613916994.075121164 1613916994.074960232 +0.000160694, ltcy: 0.22 us, exec: 0.09 us, limit: 0.05 us, leap: 00
GNS181PEX: 2021-02-21 14:16:35.0753577 1613916995.075357676 1613916995.075196743 +0.000160694, ltcy: 0.15 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:36.0755720 1613916996.075572014 1613916996.075410843 +0.000161171, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:37.0757660 1613916997.075766087 1613916997.075604916 +0.000161171, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:38.0759762 1613916998.075976133 1613916998.075814724 +0.000161171, ltcy: 0.20 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:39.0761636 1613916999.076163530 1613916999.076002121 +0.000161171, ltcy: 0.14 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:40.0764259 1613917000.076426029 1613917000.076264143 +0.000161886, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:41.0766678 1613917001.076667786 1613917001.076505899 +0.000161886, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:42.0768931 1613917002.076893091 1613917002.076731205 +0.000161886, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:43.0770900 1613917003.077090025 1613917003.076927900 +0.000162125, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:44.0773202 1613917004.077320337 1613917004.077157974 +0.000162363, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:45.0776130 1613917005.077613115 1613917005.077450514 +0.000162601, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:46.0778162 1613917006.077816248 1613917006.077653646 +0.000162601, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:47.0793882 1613917007.079388142 1613917007.079225302 +0.000162601, ltcy: 0.18 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:48.0796318 1613917008.079631805 1613917008.079468966 +0.000162840, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:49.0798099 1613917009.079809904 1613917009.079646826 +0.000162840, ltcy: 0.16 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:50.0799933 1613917010.079993486 1613917010.079830170 +0.000163317, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 14:16:51.0801644 1613917011.080164433 1613917011.080001116 +0.000163317, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
