
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-24 08:23:59.0978218 1614155039.097821712 1614155039.097648144 +0.000173569, ltcy: 0.11 us, exec: 0.06 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-24 08:24:00.0980004 1614155040.098000526 1614155040.097826481 +0.000173807, ltcy: 0.13 us, exec: 0.15 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-24 08:24:01.0982373 1614155041.098237276 1614155041.098062992 +0.000174284, ltcy: 0.11 us, exec: 0.08 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-24 08:24:02.0984349 1614155042.098434925 1614155042.098260403 +0.000174284, ltcy: 0.13 us, exec: 0.09 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-24 08:24:03.0986347 1614155043.098634720 1614155043.098459721 +0.000174999, ltcy: 0.11 us, exec: 0.07 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-24 08:24:04.0988585 1614155044.098858595 1614155044.098683357 +0.000174999, ltcy: 0.13 us, exec: 0.11 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-24 08:24:05.0990482 1614155045.099048138 1614155045.098872662 +0.000175238, ltcy: 0.14 us, exec: 0.10 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-24 08:24:06.0992459 1614155046.099246025 1614155046.099070072 +0.000175953, ltcy: 0.11 us, exec: 0.04 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-24 08:24:07.0995261 1614155047.099526167 1614155047.099349976 +0.000175953, ltcy: 0.13 us, exec: 0.04 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-24 08:24:08.0999853 1614155048.099985361 1614155048.099808931 +0.000176191, ltcy: 0.14 us, exec: 0.07 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-24 08:24:09.1003687 1614155049.100368738 1614155049.100191832 +0.000176668, ltcy: 0.14 us, exec: 0.11 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-24 08:24:10.1005757 1614155050.100575686 1614155050.100398779 +0.000176907, ltcy: 0.11 us, exec: 0.06 us, limit: 0.08 us, leap: 00 *
