
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 3502655000 Hz
GNS181PEX: 2021-02-24 08:23:44.8158088 1614155024.815808773 1614155024.816289186 -0.000480413, ltcy: 0.10 us, exec: 0.08 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-24 08:23:45.8177498 1614155025.817749739 1614155025.818230391 -0.000480890, ltcy: 0.24 us, exec: 0.19 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-24 08:23:46.8179488 1614155026.817948818 1614155026.818429708 -0.000481129, ltcy: 0.18 us, exec: 0.23 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-24 08:23:47.8182352 1614155027.818235159 1614155027.818716526 -0.000481606, ltcy: 0.15 us, exec: 0.10 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 08:23:48.8194263 1614155028.819426298 1614155028.819908142 -0.000482082, ltcy: 0.16 us, exec: 0.16 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 08:23:49.8256868 1614155029.825686932 1614155029.826168776 -0.000482082, ltcy: 0.21 us, exec: 0.15 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 08:23:50.8457946 1614155030.845794678 1614155030.846276999 -0.000482559, ltcy: 0.14 us, exec: 0.19 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-24 08:23:51.8496825 1614155031.849682570 1614155031.850165129 -0.000482798, ltcy: 0.15 us, exec: 0.10 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-24 08:23:52.8577596 1614155032.857759714 1614155032.858242512 -0.000483036, ltcy: 0.14 us, exec: 0.21 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-24 08:23:53.8580459 1614155033.858046055 1614155033.858529329 -0.000483513, ltcy: 0.15 us, exec: 0.17 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-24 08:23:54.8659608 1614155034.865960836 1614155034.866444588 -0.000483990, ltcy: 0.15 us, exec: 0.15 us, limit: 0.16 us, leap: 00 *
