
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-21 07:46:58.4068312 1613893618.406831264 1613893618.406501293 +0.000329971, ltcy: 0.10 us, exec: 0.04 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-21 07:46:59.4070175 1613893619.407017469 1613893619.406686783 +0.000330687, ltcy: 0.10 us, exec: 0.05 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:00.4072429 1613893620.407243013 1613893620.406911135 +0.000331879, ltcy: 0.11 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:01.4074298 1613893621.407429934 1613893621.407097101 +0.000332832, ltcy: 0.12 us, exec: 0.08 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:02.4076099 1613893622.407609940 1613893622.407276392 +0.000333548, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:03.4077844 1613893623.407784462 1613893623.407449961 +0.000334501, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:04.4079613 1613893624.407961369 1613893624.407625914 +0.000335455, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:05.4081589 1613893625.408159018 1613893625.407822371 +0.000336170, ltcy: 0.44 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:06.4083837 1613893626.408383608 1613893626.408046484 +0.000337124, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:07.4086024 1613893627.408602476 1613893627.408264160 +0.000338316, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:08.4088266 1613893628.408826590 1613893628.408487558 +0.000339031, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:09.4090165 1613893629.409016609 1613893629.408676386 +0.000340223, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:10.4092243 1613893630.409224272 1613893630.408883333 +0.000340700, ltcy: 0.14 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:11.4095087 1613893631.409508705 1613893631.409166813 +0.000341892, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:12.4097403 1613893632.409740210 1613893632.409397364 +0.000342846, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:13.4099456 1613893633.409945726 1613893633.409601927 +0.000343800, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:14.4101467 1613893634.410146713 1613893634.409801960 +0.000344753, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:15.4103418 1613893635.410341978 1613893635.409996271 +0.000345707, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:16.4106194 1613893636.410619497 1613893636.410272837 +0.000346661, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:17.4108005 1613893637.410800457 1613893637.410453081 +0.000347376, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:18.4110081 1613893638.411008120 1613893638.410659552 +0.000348568, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:19.4112105 1613893639.411210537 1613893639.410861015 +0.000349522, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:20.4114073 1613893640.411407232 1613893640.411056995 +0.000350237, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
