
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-21 07:47:07.6157064 1613893627.615706444 1613893627.615705967 +0.000000477, ltcy: 0.10 us, exec: 0.06 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:08.6159227 1613893628.615922689 1613893628.615921974 +0.000000477, ltcy: 0.17 us, exec: 0.12 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:09.6161375 1613893629.616137505 1613893629.616137028 +0.000000477, ltcy: 0.10 us, exec: 0.05 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:10.6163337 1613893630.616333723 1613893630.616333246 +0.000000477, ltcy: 0.12 us, exec: 0.07 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:11.6165936 1613893631.616593599 1613893631.616593122 +0.000000477, ltcy: 0.10 us, exec: 0.05 us, limit: 0.07 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:12.6168602 1613893632.616860151 1613893632.616859674 +0.000000477, ltcy: 0.10 us, exec: 0.05 us, limit: 0.06 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:13.6171176 1613893633.617117643 1613893633.617116690 +0.000000715, ltcy: 0.26 us, exec: 0.19 us, limit: 0.08 us, leap: 00
GNS181PEX: 2021-02-21 07:47:14.6174254 1613893634.617425442 1613893634.617424488 +0.000000715, ltcy: 0.18 us, exec: 0.12 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:15.6176738 1613893635.617673874 1613893635.617673159 +0.000000477, ltcy: 0.12 us, exec: 0.04 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:16.6179045 1613893636.617904663 1613893636.617903709 +0.000000715, ltcy: 0.16 us, exec: 0.10 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:17.6181540 1613893637.618154049 1613893637.618153334 +0.000000715, ltcy: 0.09 us, exec: 0.05 us, limit: 0.08 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:18.6184050 1613893638.618405104 1613893638.618403912 +0.000000954, ltcy: 0.26 us, exec: 0.20 us, limit: 0.09 us, leap: 00
GNS181PEX: 2021-02-21 07:47:19.6188234 1613893639.618823528 1613893639.618822336 +0.000000954, ltcy: 0.22 us, exec: 0.17 us, limit: 0.10 us, leap: 00
GNS181PEX: 2021-02-21 07:47:20.6190824 1613893640.619082451 1613893640.619081497 +0.000000715, ltcy: 0.18 us, exec: 0.12 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:21.6194239 1613893641.619423866 1613893641.619422674 +0.000000954, ltcy: 0.24 us, exec: 0.11 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:22.6196708 1613893642.619670868 1613893642.619669676 +0.000000954, ltcy: 0.19 us, exec: 0.13 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:23.6200887 1613893643.620088816 1613893643.620087862 +0.000000954, ltcy: 0.11 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:24.6202961 1613893644.620296001 1613893644.620295048 +0.000000715, ltcy: 0.20 us, exec: 0.12 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:25.6206223 1613893645.620622396 1613893645.620620966 +0.000001192, ltcy: 0.24 us, exec: 0.18 us, limit: 0.10 us, leap: 00
GNS181PEX: 2021-02-21 07:47:26.6211783 1613893646.621178389 1613893646.621176958 +0.000001192, ltcy: 0.35 us, exec: 0.13 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:27.6214431 1613893647.621443033 1613893647.621442318 +0.000000715, ltcy: 0.09 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:28.6216193 1613893648.621619463 1613893648.621618509 +0.000000954, ltcy: 0.10 us, exec: 0.04 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:29.6218223 1613893649.621822357 1613893649.621821404 +0.000000715, ltcy: 0.12 us, exec: 0.04 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:30.6220564 1613893650.622056484 1613893650.622055292 +0.000000954, ltcy: 0.24 us, exec: 0.13 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:31.6223082 1613893651.622308254 1613893651.622307062 +0.000000954, ltcy: 0.21 us, exec: 0.14 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:32.6225791 1613893652.622579098 1613893652.622578144 +0.000000954, ltcy: 0.10 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:33.6227315 1613893653.622731447 1613893653.622730494 +0.000000715, ltcy: 0.13 us, exec: 0.08 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:34.6229352 1613893654.622935295 1613893654.622934103 +0.000000954, ltcy: 0.12 us, exec: 0.06 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:35.6231406 1613893655.623140574 1613893655.623139620 +0.000000954, ltcy: 0.09 us, exec: 0.05 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:36.6233841 1613893656.623384237 1613893656.623382568 +0.000001431, ltcy: 0.20 us, exec: 0.13 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:37.6236552 1613893657.623655319 1613893657.623653650 +0.000001431, ltcy: 0.22 us, exec: 0.16 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:38.6239340 1613893658.623934031 1613893658.623932600 +0.000001192, ltcy: 0.17 us, exec: 0.10 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:39.6242392 1613893659.624239206 1613893659.624237776 +0.000001192, ltcy: 0.19 us, exec: 0.13 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:40.6245002 1613893660.624500275 1613893660.624499083 +0.000001192, ltcy: 0.10 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:41.6247197 1613893661.624719620 1613893661.624718428 +0.000001192, ltcy: 0.11 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:42.6249426 1613893662.624942780 1613893662.624941587 +0.000001192, ltcy: 0.09 us, exec: 0.04 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:43.6251555 1613893663.625155449 1613893663.625153780 +0.000001431, ltcy: 0.32 us, exec: 0.23 us, limit: 0.10 us, leap: 00
GNS181PEX: 2021-02-21 07:47:44.6254706 1613893664.625470638 1613893664.625468969 +0.000001431, ltcy: 0.22 us, exec: 0.15 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:45.6257133 1613893665.625713348 1613893665.625711918 +0.000001431, ltcy: 0.11 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:46.6259919 1613893666.625992060 1613893666.625990391 +0.000001431, ltcy: 0.23 us, exec: 0.16 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:47.6263281 1613893667.626328230 1613893667.626326799 +0.000001431, ltcy: 0.10 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:48.6265351 1613893668.626535177 1613893668.626533270 +0.000001669, ltcy: 0.27 us, exec: 0.17 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:49.6268206 1613893669.626820564 1613893669.626819134 +0.000001192, ltcy: 0.17 us, exec: 0.10 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:50.6270693 1613893670.627069473 1613893670.627067804 +0.000001431, ltcy: 0.17 us, exec: 0.11 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:51.6272956 1613893671.627295732 1613893671.627294064 +0.000001431, ltcy: 0.18 us, exec: 0.15 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:52.6275638 1613893672.627563953 1613893672.627562046 +0.000001669, ltcy: 0.19 us, exec: 0.13 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:53.6278374 1613893673.627837420 1613893673.627835989 +0.000001431, ltcy: 0.11 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:54.6281708 1613893674.628170967 1613893674.628169775 +0.000000954, ltcy: 0.12 us, exec: 0.07 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:55.6284176 1613893675.628417730 1613893675.628417015 +0.000000477, ltcy: 0.19 us, exec: 0.13 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:56.6287619 1613893676.628762007 1613893676.628761530 +0.000000477, ltcy: 0.10 us, exec: 0.06 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:57.6289829 1613893677.628983021 1613893677.628982306 +0.000000477, ltcy: 0.17 us, exec: 0.12 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:58.6292073 1613893678.629207373 1613893678.629206419 +0.000000715, ltcy: 0.20 us, exec: 0.15 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:59.6294644 1613893679.629464388 1613893679.629463911 +0.000000477, ltcy: 0.09 us, exec: 0.04 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:48:00.6297091 1613893680.629709005 1613893680.629708290 +0.000000477, ltcy: 0.17 us, exec: 0.11 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:48:01.6299913 1613893681.629991293 1613893681.629990339 +0.000000715, ltcy: 0.22 us, exec: 0.14 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:48:02.6302714 1613893682.630271435 1613893682.630270481 +0.000000715, ltcy: 0.15 us, exec: 0.10 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:48:03.6305525 1613893683.630552530 1613893683.630551815 +0.000000715, ltcy: 0.10 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:48:04.6307354 1613893684.630735397 1613893684.630734444 +0.000000715, ltcy: 0.17 us, exec: 0.13 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:48:05.6309784 1613893685.630978584 1613893685.630977869 +0.000000715, ltcy: 0.09 us, exec: 0.05 us, limit: 0.10 us, leap: 00 *
GNS181PEX: 2021-02-21 07:48:06.6311975 1613893686.631197453 1613893686.631196499 +0.000000715, ltcy: 0.23 us, exec: 0.18 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-21 07:48:07.6314643 1613893687.631464481 1613893687.631463766 +0.000000477, ltcy: 0.12 us, exec: 0.07 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-21 07:48:08.6317040 1613893688.631704092 1613893688.631703138 +0.000000715, ltcy: 0.18 us, exec: 0.11 us, limit: 0.11 us, leap: 00 *
GNS181PEX: 2021-02-21 07:48:09.6319751 1613893689.631975174 1613893689.631974220 +0.000000715, ltcy: 0.20 us, exec: 0.13 us, limit: 0.10 us, leap: 00 *
