
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-21 07:47:03.4952853 1613893623.495285273 1613893623.494925022 +0.000360250, ltcy: 0.11 us, exec: 0.04 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:04.4954424 1613893624.495442390 1613893624.495081186 +0.000360966, ltcy: 0.15 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:05.4956547 1613893625.495654821 1613893625.495292664 +0.000362158, ltcy: 0.10 us, exec: 0.04 us, limit: 0.04 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:06.4958571 1613893626.495857000 1613893626.495494127 +0.000362873, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:07.4960615 1613893627.496061563 1613893627.495697737 +0.000363827, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:08.4962605 1613893628.496260643 1613893628.495895863 +0.000364780, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:09.4965336 1613893629.496533632 1613893629.496167898 +0.000365734, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:10.4968141 1613893630.496814251 1613893630.496447563 +0.000366688, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:11.4970203 1613893631.497020483 1613893631.496652842 +0.000367641, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:12.4973023 1613893632.497302294 1613893632.496933937 +0.000368357, ltcy: 0.11 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:13.4975418 1613893633.497541904 1613893633.497172356 +0.000369549, ltcy: 0.10 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:14.4978252 1613893634.497825384 1613893634.497454882 +0.000370502, ltcy: 0.09 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:15.4980410 1613893635.498041153 1613893635.497669697 +0.000371456, ltcy: 0.10 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:16.4982456 1613893636.498245716 1613893636.497873306 +0.000372171, ltcy: 0.13 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:17.4984554 1613893637.498455524 1613893637.498082399 +0.000372887, ltcy: 0.12 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:18.4986529 1613893638.498652935 1613893638.498278856 +0.000373840, ltcy: 0.13 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:19.4989238 1613893639.498923779 1613893639.498548746 +0.000375032, ltcy: 0.09 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:20.4991770 1613893640.499176979 1613893640.498800993 +0.000375986, ltcy: 0.10 us, exec: 0.06 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:21.4993647 1613893641.499364614 1613893641.498987675 +0.000376940, ltcy: 0.12 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:22.4997026 1613893642.499702692 1613893642.499324799 +0.000377655, ltcy: 0.13 us, exec: 0.05 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:23.4999583 1613893643.499958277 1613893643.499565125 +0.000378609, ltcy: 14.47 us, exec: 0.04 us, limit: 0.05 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:24.5001453 1613893644.500145435 1613893644.499765396 +0.000379801, ltcy: 0.12 us, exec: 0.08 us, limit: 0.05 us, leap: 00 *
