
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 3502655000 Hz
GNS181PEX: 2021-02-21 07:46:52.1722844 1613893612.172284365 1613893612.172139883 +0.000144243, ltcy: 0.15 us, exec: 0.15 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-21 07:46:53.1724582 1613893613.172458172 1613893613.172313452 +0.000144482, ltcy: 0.14 us, exec: 0.15 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-21 07:46:54.1726471 1613893614.172647238 1613893614.172501802 +0.000145197, ltcy: 0.14 us, exec: 0.14 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-21 07:46:55.1728434 1613893615.172843456 1613893615.172697783 +0.000145435, ltcy: 0.14 us, exec: 0.12 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-21 07:46:56.1730604 1613893616.173060417 1613893616.172914267 +0.000145912, ltcy: 0.19 us, exec: 0.17 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-21 07:46:57.1732945 1613893617.173294544 1613893617.173147917 +0.000146389, ltcy: 0.21 us, exec: 0.15 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-21 07:46:58.1735403 1613893618.173540354 1613893618.173393488 +0.000146627, ltcy: 0.19 us, exec: 0.19 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-21 07:46:59.1737838 1613893619.173784018 1613893619.173636675 +0.000147104, ltcy: 0.20 us, exec: 0.16 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:00.1740659 1613893620.174065828 1613893620.173918962 +0.000146627, ltcy: 0.22 us, exec: 0.22 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:01.1743107 1613893621.174310684 1613893621.174162865 +0.000147581, ltcy: 0.18 us, exec: 0.11 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:02.1751218 1613893622.175121784 1613893622.174973965 +0.000147581, ltcy: 0.14 us, exec: 0.08 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:03.1753331 1613893623.175333261 1613893623.175184727 +0.000148296, ltcy: 0.20 us, exec: 0.15 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:04.1755836 1613893624.175583601 1613893624.175435543 +0.000147820, ltcy: 0.16 us, exec: 0.11 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:05.1758063 1613893625.175806284 1613893625.175657034 +0.000149012, ltcy: 0.20 us, exec: 0.23 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:06.1760459 1613893626.176045895 1613893626.175896406 +0.000149250, ltcy: 0.19 us, exec: 0.12 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:07.1762727 1613893627.176272869 1613893627.176123142 +0.000149488, ltcy: 0.15 us, exec: 0.13 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:08.1764912 1613893628.176491261 1613893628.176341057 +0.000149965, ltcy: 0.22 us, exec: 0.19 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:09.1767550 1613893629.176754951 1613893629.176604509 +0.000150204, ltcy: 0.20 us, exec: 0.20 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:10.1769882 1613893630.176988363 1613893630.176838160 +0.000149965, ltcy: 0.13 us, exec: 0.10 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:11.1771846 1613893631.177184582 1613893631.177033663 +0.000150681, ltcy: 0.20 us, exec: 0.21 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:12.1774260 1613893632.177426100 1613893632.177274704 +0.000151157, ltcy: 0.14 us, exec: 0.12 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:13.1776394 1613893633.177639484 1613893633.177487612 +0.000151634, ltcy: 0.20 us, exec: 0.20 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:14.1778685 1613893634.177868605 1613893634.177716255 +0.000152111, ltcy: 0.22 us, exec: 0.18 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:15.1781193 1613893635.178119421 1613893635.177966833 +0.000152349, ltcy: 0.20 us, exec: 0.17 us, limit: 0.16 us, leap: 00 *
GNS181PEX: 2021-02-21 07:47:16.1783128 1613893636.178312778 1613893636.178160667 +0.000151873, ltcy: 0.16 us, exec: 0.06 us, limit: 0.15 us, leap: 00 *
