
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 3502655000 Hz
GNS181PEX: 2021-02-20 07:17:52.2570724 1613805472.257072449 1613805472.259068727 -0.001996279, ltcy: 0.11 us, exec: 0.14 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 07:17:53.2572393 1613805473.257239342 1613805473.259269953 -0.002030849, ltcy: 0.15 us, exec: 0.10 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-20 07:17:54.2574203 1613805474.257420301 1613805474.259484053 -0.002063990, ltcy: 0.15 us, exec: 0.17 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 07:17:55.2575969 1613805475.257596970 1613805475.259694338 -0.002097607, ltcy: 0.15 us, exec: 0.13 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-20 07:17:56.2579858 1613805476.257985830 1613805476.260116816 -0.002131224, ltcy: 0.16 us, exec: 0.14 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 07:17:57.2581506 1613805477.258150578 1613805477.260315418 -0.002165079, ltcy: 0.14 us, exec: 0.09 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-20 07:17:58.2583089 1613805478.258308887 1613805478.260507584 -0.002198935, ltcy: 0.15 us, exec: 0.13 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-20 07:17:59.2585732 1613805479.258573294 1613805479.260805607 -0.002232552, ltcy: 0.13 us, exec: 0.12 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:00.2588194 1613805480.258819580 1613805480.260990858 -0.002171516, ltcy: 0.15 us, exec: 0.17 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:01.2596817 1613805481.259681702 1613805481.261224508 -0.001543045, ltcy: 0.15 us, exec: 0.17 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:02.2601382 1613805482.260138273 1613805482.261730671 -0.001592636, ltcy: 0.15 us, exec: 0.15 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:03.2603135 1613805483.260313511 1613805483.261997700 -0.001684427, ltcy: 0.15 us, exec: 0.14 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:04.2604397 1613805484.260439873 1613805484.262159109 -0.001719475, ltcy: 0.14 us, exec: 0.12 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:05.2606015 1613805485.260601521 1613805485.262345076 -0.001743793, ltcy: 0.21 us, exec: 0.09 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:06.2608485 1613805486.260848522 1613805486.262616634 -0.001768351, ltcy: 0.16 us, exec: 0.15 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:07.2610934 1613805487.261093378 1613805487.262885809 -0.001792669, ltcy: 0.16 us, exec: 0.14 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:08.2613589 1613805488.261358976 1613805488.263175488 -0.001816750, ltcy: 0.13 us, exec: 0.30 us, limit: 0.14 us, leap: 00
GNS181PEX: 2021-02-20 07:18:09.2615520 1613805489.261552095 1613805489.263393164 -0.001841307, ltcy: 0.15 us, exec: 0.18 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:10.2617885 1613805490.261788607 1613805490.263653994 -0.001865625, ltcy: 0.14 us, exec: 0.15 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:11.2620680 1613805491.262068033 1613805491.263957977 -0.001890182, ltcy: 0.15 us, exec: 0.14 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:12.2623157 1613805492.262315750 1613805492.264230013 -0.001914501, ltcy: 0.15 us, exec: 0.16 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:13.2625631 1613805493.262563229 1613805493.264501572 -0.001938581, ltcy: 0.14 us, exec: 0.27 us, limit: 0.15 us, leap: 00
GNS181PEX: 2021-02-20 07:18:14.2627593 1613805494.262759447 1613805494.264722347 -0.001963139, ltcy: 0.15 us, exec: 0.09 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:15.2629334 1613805495.262933493 1613805495.264920950 -0.001987696, ltcy: 0.13 us, exec: 0.07 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:16.2631037 1613805496.263103724 1613805496.265115261 -0.002011776, ltcy: 0.15 us, exec: 0.15 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:17.2633767 1613805497.263376713 1613805497.265412807 -0.002036333, ltcy: 0.15 us, exec: 0.09 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:18.2639230 1613805498.263922930 1613805498.265983343 -0.002060652, ltcy: 0.14 us, exec: 0.10 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:19.2645945 1613805499.264594555 1613805499.266679287 -0.002084970, ltcy: 0.15 us, exec: 0.20 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:20.2647657 1613805500.264765739 1613805500.266875029 -0.002109528, ltcy: 0.14 us, exec: 0.15 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:21.2652964 1613805501.265296459 1613805501.267429829 -0.002133608, ltcy: 0.15 us, exec: 0.16 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:22.2654638 1613805502.265463829 1613805502.267621756 -0.002158165, ltcy: 0.21 us, exec: 0.17 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:23.2656312 1613805503.265631199 1613805503.267813444 -0.002182484, ltcy: 0.18 us, exec: 0.15 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:24.2659091 1613805504.265909195 1613805504.268115759 -0.002206802, ltcy: 0.15 us, exec: 0.16 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:25.2661125 1613805505.266112566 1613805505.268343687 -0.002231359, ltcy: 0.15 us, exec: 0.13 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:26.2664546 1613805506.266454697 1613805506.268710136 -0.002255678, ltcy: 0.15 us, exec: 0.15 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:27.2666939 1613805507.266694069 1613805507.268973827 -0.002279997, ltcy: 0.14 us, exec: 0.15 us, limit: 0.15 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:28.2669165 1613805508.266916513 1613805508.269220591 -0.002304316, ltcy: 0.21 us, exec: 0.12 us, limit: 0.15 us, leap: 00 *
