
mbgsvcd v4.2.14 copyright Meinberg 2010-2020

Found 1 devices usable for the NTP daemon
PC cycles counter clock frequency: 2900000000 Hz
GNS181PEX: 2021-02-20 07:18:00.1393383 1613805480.139338255 1613805480.140846968 -0.001508951, ltcy: 0.15 us, exec: 0.09 us, limit: 0.09 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:01.1394946 1613805481.139494658 1613805481.141017914 -0.001523256, ltcy: 0.10 us, exec: 0.31 us, limit: 0.20 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:02.1396697 1613805482.139669657 1613805482.141207218 -0.001537561, ltcy: 0.11 us, exec: 0.11 us, limit: 0.17 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:03.1399500 1613805483.139950037 1613805483.141501904 -0.001551867, ltcy: 0.10 us, exec: 0.07 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:04.1403085 1613805484.140308619 1613805484.141874790 -0.001566172, ltcy: 0.11 us, exec: 0.10 us, limit: 0.14 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:05.1404833 1613805485.140483379 1613805485.142063856 -0.001580477, ltcy: 0.10 us, exec: 0.05 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:06.1406428 1613805486.140642881 1613805486.142237902 -0.001595020, ltcy: 0.11 us, exec: 0.10 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:07.1408170 1613805487.140817165 1613805487.142426491 -0.001609564, ltcy: 0.12 us, exec: 0.17 us, limit: 0.12 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:08.1410332 1613805488.141033411 1613805488.142657042 -0.001623631, ltcy: 0.11 us, exec: 0.15 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:09.1412840 1613805489.141283989 1613805489.142922163 -0.001638174, ltcy: 0.11 us, exec: 0.15 us, limit: 0.13 us, leap: 00 *
GNS181PEX: 2021-02-20 07:18:10.1414849 1613805490.141484976 1613805490.143137455 -0.001652479, ltcy: 0.12 us, exec: 0.10 us, limit: 0.13 us, leap: 00 *
